Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
NAEGRDRAFT_69163	-	CP062090.1_RagTag	-	7585	9131	4.625664	0.194283	0.211142
NAEGRDRAFT_69164	-	CP062090.1_RagTag	-	9407	11620	859.998169	36.120918	39.255367
NAEGRDRAFT_58423	-	CP062090.1_RagTag	+	12654	15955	108.110542	4.540768	4.934801
NAEGRDRAFT_50141	-	CP062090.1_RagTag	+	17324	18586	437.442596	18.373095	19.967451
NAEGRDRAFT_50142	-	CP062090.1_RagTag	+	19214	20980	29.159355	1.224727	1.331004
NAEGRDRAFT_58425	-	CP062090.1_RagTag	+	21505	23587	1181.970215	49.644112	53.952065
NAEGRDRAFT_50144	-	CP062090.1_RagTag	-	23589	25564	1.997470	0.083896	0.091176
NAEGRDRAFT_69171	-	CP062090.1_RagTag	+	26299	30091	65.340004	2.744355	2.982502
NAEGRDRAFT_50146	-	CP062090.1_RagTag	-	30130	31167	23.369942	0.981565	1.066741
NAEGRDRAFT_50147	-	CP062090.1_RagTag	+	31776	32675	206.664459	8.680146	9.433381
NAEGRDRAFT_60736	-	CP062090.1_RagTag	+	33304	33765	6.764069	0.284099	0.308752
NAEGRDRAFT_54911	-	CP062090.1_RagTag	-	34795	35331	0.023277	0.000978	0.001062
NAEGRDRAFT_69176	-	CP062090.1_RagTag	+	40735	41967	0.202758	0.008516	0.009255
NAEGRDRAFT_83208	-	CP062090.1_RagTag	+	42078	43755	936.476685	39.333103	42.746300
NAEGRDRAFT_69178	-	CP062090.1_RagTag	+	44782	47265	695.741760	29.221958	31.757742
NAEGRDRAFT_58428	-	CP062090.1_RagTag	-	47492	48561	405.247650	17.020870	18.497885
NAEGRDRAFT_58429	-	CP062090.1_RagTag	-	48581	49622	433.400208	18.203310	19.782932
NAEGRDRAFT_69181	-	CP062090.1_RagTag	+	50280	52455	268.581451	11.280731	12.259635
NAEGRDRAFT_69182	-	CP062090.1_RagTag	-	53555	55822	254.893738	10.705832	11.634849
NAEGRDRAFT_69183	-	CP062090.1_RagTag	+	57003	58238	43.317829	1.819399	1.977280
NAEGRDRAFT_58430	-	CP062090.1_RagTag	-	58269	59539	771.629456	32.409328	35.221703
NAEGRDRAFT_50155	-	CP062090.1_RagTag	+	59883	61551	128.390579	5.392552	5.860500
NAEGRDRAFT_50156	-	CP062090.1_RagTag	-	61894	63135	617.737549	25.945690	28.197172
NAEGRDRAFT_69187	-	CP062090.1_RagTag	+	63579	65105	72.654221	3.051561	3.316366
NAEGRDRAFT_50158	-	CP062090.1_RagTag	-	65303	67464	155.418488	6.527756	7.094213
NAEGRDRAFT_69189	-	CP062090.1_RagTag	-	67648	68346	76.060089	3.194612	3.471829
NAEGRDRAFT_69191	-	CP062090.1_RagTag	+	69894	71296	0.142552	0.005987	0.006507
NAEGRDRAFT_58431	-	CP062090.1_RagTag	+	71489	72089	5325.906738	223.694229	243.105698
NAEGRDRAFT_55823	-	CP062090.1_RagTag	-	72078	73717	6022.912109	252.969254	274.921112
NAEGRDRAFT_50162	-	CP062090.1_RagTag	-	74084	75763	352.558929	14.807882	16.092861
NAEGRDRAFT_80237	-	CP062090.1_RagTag	+	76234	78545	132.098190	5.548276	6.029738
NAEGRDRAFT_69196	-	CP062090.1_RagTag	+	78561	80564	50.615021	2.125889	2.310367
NAEGRDRAFT_69197	-	CP062090.1_RagTag	+	80895	82316	58.709564	2.465869	2.679850
NAEGRDRAFT_69198	-	CP062090.1_RagTag	-	82422	82805	314.934906	13.227631	14.375480
NAEGRDRAFT_69199	-	CP062090.1_RagTag	+	82949	84701	134.312210	5.641268	6.130798
NAEGRDRAFT_80238	-	CP062090.1_RagTag	-	85329	86907	1316.146606	55.279678	60.076664
NAEGRDRAFT_69201	-	CP062090.1_RagTag	-	87230	88861	177.251831	7.444781	8.090815
NAEGRDRAFT_69202	-	CP062090.1_RagTag	+	89282	90769	16.559151	0.695503	0.755857
NAEGRDRAFT_58435	-	CP062090.1_RagTag	-	90702	92957	129.675522	5.446521	5.919153
NAEGRDRAFT_50168	-	CP062090.1_RagTag	-	93823	95274	4.205923	0.176654	0.191983
NAEGRDRAFT_80241	-	CP062090.1_RagTag	+	96006	97735	883.135925	37.092728	40.311512
NAEGRDRAFT_50170	-	CP062090.1_RagTag	+	98202	99917	2.503496	0.105150	0.114274
NAEGRDRAFT_58437	-	CP062090.1_RagTag	+	100835	103124	120.811600	5.074227	5.514551
NAEGRDRAFT_58438	-	CP062090.1_RagTag	-	103107	105720	109.269867	4.589461	4.987719
NAEGRDRAFT_50173	-	CP062090.1_RagTag	-	106427	107668	89.377617	3.753963	4.079720
NAEGRDRAFT_69210	-	CP062090.1_RagTag	-	107826	109016	132.423172	5.561926	6.044571
NAEGRDRAFT_55018	-	CP062090.1_RagTag	+	110068	110879	11.831579	0.496940	0.540063
NAEGRDRAFT_77155	-	CP062090.1_RagTag	+	111054	111710	31.019293	1.302846	1.415903
NAEGRDRAFT_80244	-	CP062090.1_RagTag	-	114218	116838	848.022644	35.617931	38.708736
