target_id	length	eff_length	est_counts	tpm
CPERKG00000000001.1	121	18.5306	0	0
CPERKG00000000002.1	1956	1745.13	65	0.503598
CPERKG00000000003.1	6096	5885.13	596	1.36927
CPERKG00000000004.1	4519	4308.13	9595	30.113
CPERKG00000000005.1	6397	6186.13	11427	24.9754
CPERKG00000000006.1	1122	911.125	1071.97	15.9074
CPERKG00000000007.1	435	237.126	1144	65.2295
CPERKG00000000008.1	1134	923.125	539	7.89452
CPERKG00000000009.1	2918	2707.13	27171.7	135.708
CPERKG00000000010.1	1086	875.125	7154.26	110.533
CPERKG00000000011.1	1961	1750.13	4247.79	32.8164
CPERKG00000000012.1	1316	1105.13	715.208	8.75021
CPERKG00000000013.1	1309	1098.13	8577	105.604
CPERKG00000000014.1	3344	3133.13	9903	42.7353
CPERKG00000000015.1	2208	1997.13	22534.1	152.557
CPERKG00000000016.1	1232	1021.13	1814.91	24.0311
CPERKG00000000017.1	5087	4876.13	7624	21.14
CPERKG00000000018.1	4752	4541.13	2628	7.82455
CPERKG00000000019.1	4012	3801.13	1370.28	4.87409
CPERKG00000000020.1	1005	794.125	1357.72	23.1164
CPERKG00000000021.1	1224	1013.13	2360	31.4953
CPERKG00000000022.1	3681	3470.13	729	2.8404
CPERKG00000000023.1	3318	3107.13	865	3.76404
CPERKG00000000024.1	2211	2000.13	1253	8.47015
CPERKG00000000025.1	910	699.125	107	2.06931
CPERKG00000000026.1	1498	1287.13	981	10.3049
CPERKG00000000027.1	1033	822.125	15150	249.156
CPERKG00000000028.1	1269	1058.13	4413	56.389
CPERKG00000000029.1	1906	1695.13	7808	62.2781
CPERKG00000000030.1	1352	1141.13	5976	70.8068
CPERKG00000000031.1	1629	1418.13	615	5.86351
CPERKG00000000032.1	2769	2558.13	3273	17.299
CPERKG00000000033.1	2014	1803.13	4983	37.3648
CPERKG00000000034.1	768	557.416	0	0
CPERKG00000000035.1	1338	1127.13	193	2.31517
CPERKG00000000036.1	2041	1830.13	728	5.37834
CPERKG00000000037.1	936	725.125	16	0.298335
CPERKG00000000038.1	867	656.125	2927	60.3161
CPERKG00000000039.1	1323	1112.13	1574	19.1359
CPERKG00000000040.1	2515	2304.13	4004	23.4955
CPERKG00000000041.1	534	328.208	29324	1208.01
CPERKG00000000042.1	3163	2952.13	4635	21.2282
CPERKG00000000043.1	2065	1854.13	1584	11.5508
CPERKG00000000044.1	2047	1836.13	2717	20.0071
CPERKG00000000045.1	2463	2252.13	1471	8.83116
CPERKG00000000046.1	969	758.125	0	0
CPERKG00000000047.1	1523	1312.13	928	9.56247
CPERKG00000000048.1	3723	3512.13	4517	17.3891
CPERKG00000000049.1	2724	2513.13	12838	69.0686
CPERKG00000000050.1	1500	1289.13	0	0
CPERKG00000000051.1	1865	1654.13	1119.04	9.14691
