Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHLRE_01g000017v5	-	NC_057004.1	+	18766	20237	11.618093	4.679985	6.575977
CHLRE_01g000033v5	-	NC_057004.1	+	20356	23957	0.719155	0.289689	0.407050
CHLRE_01g000050v5	-	NC_057004.1	+	24026	30617	3.850042	1.550869	2.179169
CHLRE_01g000100v5	-	NC_057004.1	+	30776	41037	1.104765	0.445020	0.625310
CHLRE_01g000150v5	-	NC_057004.1	+	41896	46547	11.457663	4.615361	6.485171
CHLRE_01g000200v5	-	NC_057004.1	-	46553	51525	7.321501	2.949237	4.144055
CHLRE_01g000250v5	-	NC_057004.1	-	51590	54035	107.557640	43.326229	60.878883
CHLRE_01g000300v5	-	NC_057004.1	+	54136	57919	340.685059	137.234314	192.831726
CHLRE_01g000350v5	-	NC_057004.1	-	57977	60685	300.666901	121.114250	170.181000
CHLRE_01g000400v5	-	NC_057004.1	-	60740	64955	6.411713	2.582758	3.629105
CHLRE_01g000450v5	-	NC_057004.1	+	65056	70197	18.488043	7.447330	10.464448
CHLRE_01g000500v5	-	NC_057004.1	+	70246	77235	9.863080	3.973033	5.582619
CHLRE_01g000550v5	-	NC_057004.1	+	77366	83717	0.094504	0.038068	0.053490
CHLRE_01g000600v5	-	NC_057004.1	-	83750	88945	38.615986	15.555241	21.857100
CHLRE_01g000650v5	-	NC_057004.1	+	89576	97537	4.893903	1.971355	2.770006
CHLRE_01g000700v5	-	NC_057004.1	-	97540	103735	2.579882	1.039225	1.460243
CHLRE_01g000750v5	-	NC_057004.1	-	103896	110765	8.311436	3.348001	4.704370
CHLRE_01g000800v5	-	NC_057004.1	-	111401	113935	21.354586	8.824195	12.399120
CHLRE_01g000850v5	-	NC_057004.1	-	114410	116415	319.867645	128.848663	181.048828
CHLRE_01g000900v5	-	NC_057004.1	+	116526	120738	57.767960	23.270014	32.697342
CHLRE_01g000950v5	-	NC_057004.1	+	121436	126517	2.516863	1.013839	1.424574
CHLRE_01g001000v5	-	NC_057004.1	-	126580	132075	0.453465	0.182664	0.256667
CHLRE_01g001100v5	-	NC_057004.1	-	133427	138095	146.171707	58.880695	82.734901
CHLRE_01g001150v5	-	NC_057004.1	+	138226	151966	2.296315	0.924999	1.299741
CHLRE_01g001200v5	-	NC_057004.1	+	152546	165736	5.678340	2.287341	3.214007
CHLRE_01g001250v5	-	NC_057004.1	+	166882	177525	1.852416	0.746188	1.048489
CHLRE_01g001300v5	-	NC_057004.1	+	179762	209575	0.055546	0.022375	0.031440
CHLRE_01g001350v5	-	NC_057004.1	-	209956	218641	5.121449	2.063015	2.898800
CHLRE_01g001400v5	-	NC_057004.1	+	218742	224662	43.181198	17.394194	24.441065
CHLRE_01g001450v5	-	NC_057004.1	+	225012	229655	3.059104	1.232264	1.731489
CHLRE_01g001501v5	-	NC_057004.1	-	230216	237771	3.218882	1.296626	1.821925
CHLRE_01g001550v5	-	NC_057004.1	+	237942	243824	107.557701	43.326252	60.878922
CHLRE_01g001600v5	-	NC_057004.1	+	245102	248187	6.069607	2.444951	3.435469
CHLRE_01g001650v5	-	NC_057004.1	-	248746	253111	4.548223	1.832109	2.574347
CHLRE_01g001657v5	-	NC_057004.1	+	253212	264398	43.458267	17.505802	24.597889
CHLRE_01g001664v5	-	NC_057004.1	-	264835	268411	26.055674	10.495712	14.747817
CHLRE_01g001671v5	-	NC_057004.1	-	268506	270501	0.000000	0.000000	0.000000
CHLRE_01g001678v5	-	NC_057004.1	+	272552	286183	13.333708	5.385716	7.567620
