Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene_1	-	scaffold_1	+	1182	1577	3881.772705	1270.910889	2006.096680
gene_2	-	scaffold_1	-	2508	3068	32.160427	10.529477	16.620480
gene_3	-	scaffold_1	+	4091	6312	198.826279	65.096672	102.753235
gene_4	-	scaffold_1	+	12773	14931	0.614445	0.201172	0.317545
gene_5	-	scaffold_1	+	18205	25198	0.284419	0.093120	0.146987
gene_6	-	scaffold_1	+	28822	30495	0.716270	0.234510	0.370168
gene_7	-	scaffold_1	+	31574	33123	494.266571	161.825226	255.436508
gene_8	-	scaffold_1	+	33421	35982	9.363778	3.065746	4.839192
gene_9	-	scaffold_1	-	36196	37119	110.297623	36.111965	57.001713
gene_10	-	scaffold_1	+	40636	41935	48.030766	15.725501	24.822256
gene_11	-	scaffold_1	+	46152	46815	7.517179	2.461160	3.884871
gene_13	-	scaffold_1	-	64085	64450	27.262295	8.925805	14.089128
gene_14	-	scaffold_1	+	69843	71937	451.237701	147.737381	233.199234
gene_15	-	scaffold_1	+	72851	74162	3.360434	1.100222	1.736669
gene_16	-	scaffold_1	+	74974	77816	66.793877	21.868633	34.519016
gene_17	-	scaffold_1	-	78147	79475	25.188112	8.246708	13.017194
gene_18	-	scaffold_1	-	82954	84996	124.953011	40.910210	64.575600
gene_20	-	scaffold_1	+	87906	88571	0.000000	0.000000	0.000000
gene_19	-	scaffold_1	+	87908	88571	2.326807	0.761808	1.202492
gene_21	-	scaffold_1	+	93303	94331	20.894072	6.840818	10.798038
gene_22	-	scaffold_1	-	94786	96160	36.218182	11.858005	18.717522
gene_23	-	scaffold_1	-	102831	104141	29.942791	9.803412	15.474406
gene_24	-	scaffold_1	-	105615	106361	38.609104	12.640804	19.953150
gene_25	-	scaffold_1	+	108651	109462	8.182266	2.678913	4.228588
gene_26	-	scaffold_1	-	109897	110753	102.175026	33.452587	52.803959
gene_27	-	scaffold_1	+	112546	117126	1.443790	0.472704	0.746149
gene_28	-	scaffold_1	+	117662	118757	60.791969	19.903580	31.417234
gene_29	-	scaffold_1	-	118857	119432	3.718750	1.217536	1.921847
gene_30	-	scaffold_1	+	120666	121944	181.879944	59.548359	93.995384
