Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
SPPG_00001	-	NW_015971537.1	-	924	2506	0.000000	0.000000	0.000000
SPPG_00002	-	NW_015971537.1	+	3444	5699	0.248005	0.112587	0.150935
SPPG_00004	-	NW_015971537.1	+	7670	9466	0.000000	0.000000	0.000000
SPPG_00005	-	NW_015971537.1	+	9795	11161	0.884388	0.401485	0.538234
SPPG_00006	-	NW_015971537.1	-	11636	13280	12.801247	5.811372	7.790772
SPPG_08809	-	NW_015971537.1	+	15294	20010	6.398383	2.904669	3.894022
SPPG_00010	-	NW_015971537.1	-	20258	22922	0.476473	0.216304	0.289979
SPPG_00011	-	NW_015971537.1	+	23339	26361	0.207639	0.094262	0.126368
SPPG_00012	-	NW_015971537.1	-	26665	27996	0.606627	0.275390	0.369190
SPPG_00013	-	NW_015971537.1	+	29178	30465	665.303955	302.027527	404.900482
SPPG_00014	-	NW_015971537.1	-	30890	32941	4.710322	2.138341	2.866677
SPPG_00015	-	NW_015971537.1	+	33783	35249	63.879196	28.999187	38.876545
SPPG_00016	-	NW_015971537.1	+	35560	36913	657.298523	298.393311	400.028412
SPPG_00017	-	NW_015971537.1	+	36942	38984	76.203712	34.668011	46.476215
SPPG_00018	-	NW_015971537.1	+	39070	39714	7.341549	3.332837	4.468028
SPPG_00019	-	NW_015971537.1	-	39912	42723	15.349615	6.968252	9.341696
SPPG_08810	-	NW_015971537.1	+	42926	44188	19.045000	8.645844	11.590688
SPPG_00020	-	NW_015971537.1	+	45330	48591	33.170994	15.058609	20.187693
SPPG_00021	-	NW_015971537.1	-	48514	50028	74.542496	33.840000	45.366173
SPPG_00022	-	NW_015971537.1	+	50215	54149	21.267900	9.654972	12.943533
SPPG_08811	-	NW_015971537.1	-	54255	57678	55.447094	25.171272	33.744808
SPPG_08812	-	NW_015971537.1	-	57771	59078	23.909409	10.854136	14.551141
SPPG_00024	-	NW_015971537.1	+	59055	61570	189.257004	85.916855	115.180824
SPPG_00025	-	NW_015971537.1	-	62285	63915	103.129036	46.817410	62.763790
SPPG_08813	-	NW_015971537.1	+	64665	65418	6.648012	3.017993	4.045945
SPPG_00026	-	NW_015971537.1	+	66079	67591	1.085911	0.492970	0.660880
SPPG_00027	-	NW_015971537.1	+	68204	71119	38.022564	17.521484	23.489443
SPPG_00028	-	NW_015971537.1	+	71245	72780	11.455924	5.200637	6.972015
SPPG_00029	-	NW_015971537.1	-	72274	73837	129.308762	58.702194	78.696632
SPPG_00030	-	NW_015971537.1	-	73955	75833	66.375778	30.132559	40.395954
SPPG_00031	-	NW_015971537.1	+	76449	79580	23.910490	10.854627	14.551799
SPPG_00032	-	NW_015971537.1	-	79254	83076	35.942818	16.316933	21.874609
SPPG_00033	-	NW_015971537.1	+	83618	85318	8.978087	4.075776	5.464017
SPPG_00034	-	NW_015971537.1	-	85057	88037	24.461817	11.104911	14.887333
SPPG_00035	-	NW_015971537.1	+	88631	91055	51.959465	23.587997	31.622257
SPPG_00036	-	NW_015971537.1	+	91198	93641	52.402908	23.789307	31.892136
SPPG_00037	-	NW_015971537.1	-	93592	95606	26.872648	12.199354	16.354553
SPPG_00038	-	NW_015971537.1	-	96521	98478	18.383417	8.345506	11.188052
SPPG_00039	-	NW_015971537.1	+	98809	99538	61.031715	27.706518	37.143581
SPPG_08814	-	NW_015971537.1	+	99678	101308	62.495491	28.371029	38.034428
SPPG_00040	-	NW_015971537.1	-	101187	103379	29.534117	13.407579	17.974308
SPPG_00041	-	NW_015971537.1	+	103494	105045	46.480442	21.100689	28.287754
SPPG_00042	-	NW_015971537.1	+	105535	106987	4811.083984	2184.083984	2928.000488
SPPG_00043	-	NW_015971537.1	-	107043	108195	299.491028	139.947601	187.614883
SPPG_00044	-	NW_015971537.1	+	108352	110859	31.019205	14.081763	18.878126
SPPG_00045	-	NW_015971537.1	-	110685	111828	1706.069214	774.502869	1038.304810
SPPG_00046	-	NW_015971537.1	+	112601	113649	135.938904	61.712074	82.731697
SPPG_00047	-	NW_015971537.1	+	113971	115046	2.039033	0.925658	1.240945
SPPG_00048	-	NW_015971537.1	-	115126	115953	2554.824463	1159.811646	1554.852783
SPPG_00049	-	NW_015971537.1	-	116076	119190	57.884407	26.277739	35.228149
SPPG_00050	-	NW_015971537.1	+	119437	119894	62.528481	28.386003	38.054504
SPPG_00051	-	NW_015971537.1	+	120108	122883	20.291883	9.211890	12.349534
SPPG_00052	-	NW_015971537.1	+	123091	126640	31.129381	14.131781	18.945179
SPPG_00053	-	NW_015971537.1	-	126577	127552	53.413296	24.247992	32.507053
SPPG_08815	-	NW_015971537.1	+	127967	129110	68.828796	31.246155	41.888847
SPPG_00054	-	NW_015971537.1	-	128259	129978	50.363197	22.863340	30.650778
SPPG_00055	-	NW_015971537.1	+	130099	134143	49.636322	22.533361	30.208406
SPPG_00056	-	NW_015971537.1	-	134265	135707	82.417755	37.415123	50.159012
SPPG_00057	-	NW_015971537.1	-	136405	138380	45.918968	20.845798	27.946043
SPPG_00058	-	NW_015971537.1	-	138641	142527	38.370861	17.419189	23.352304
SPPG_00059	-	NW_015971537.1	-	143905	146004	34.967300	15.874079	21.280916
SPPG_00060	-	NW_015971537.1	+	146838	147777	22.841196	10.369200	13.901032
SPPG_00061	-	NW_015971537.1	+	150594	151337	1.452957	0.659598	0.884262
SPPG_00062	-	NW_015971537.1	-	153786	154414	162.786224	73.899933	99.070847
SPPG_00063	-	NW_015971537.1	+	154532	155740	88.047203	39.970722	53.585064
SPPG_08816	-	NW_015971537.1	+	155842	159018	29.392771	13.343413	17.888287
SPPG_00066	-	NW_015971537.1	-	158962	160408	96.734970	43.914696	58.872395
SPPG_00067	-	NW_015971537.1	+	160513	165757	46.478649	21.099874	28.286661
SPPG_00068	-	NW_015971537.1	-	165275	169872	34.979134	15.879451	21.288116
SPPG_00069	-	NW_015971537.1	+	170028	175182	13.059566	5.928641	7.947984
SPPG_00070	-	NW_015971537.1	+	175297	176836	129.020828	58.571484	78.521400
SPPG_00071	-	NW_015971537.1	-	176614	177573	132.867996	60.317978	80.862770
SPPG_00072	-	NW_015971537.1	+	177726	183450	63.028385	28.612946	38.358746
SPPG_00073	-	NW_015971537.1	-	183718	185971	450.149323	204.353928	273.958527
SPPG_00074	-	NW_015971537.1	+	186274	188470	620.790894	281.819946	377.810089
SPPG_00075	-	NW_015971537.1	+	189563	197749	8.052278	3.655486	4.900574
SPPG_00076	-	NW_015971537.1	-	197896	198617	2458.234375	1115.962769	1496.068604
SPPG_00077	-	NW_015971537.1	-	198638	213976	9.613178	4.364087	5.850530
SPPG_00078	-	NW_015971537.1	+	214174	215689	641.009277	290.998474	390.114899
SPPG_00079	-	NW_015971537.1	-	215569	216383	27.693848	12.572154	16.854330
SPPG_00080	-	NW_015971537.1	+	216836	218167	246.370468	111.844604	149.939774
SPPG_00081	-	NW_015971537.1	-	218336	223139	40.231106	18.341532	24.588806
