Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CFRG0001	-	scaffold01	-	102	1111	26.508814	0.902301	1.468737
CFRG0002	-	scaffold01	+	4441	10975	1259.259033	43.517426	70.836327
CFRG0003	-	scaffold01	-	10970	17382	316.146698	10.760924	17.516302
CFRG0004	-	scaffold01	+	17893	19236	40949.214844	1393.819458	2268.816406
CFRG0005	-	scaffold01	+	19821	21872	169.537750	5.770684	9.393343
CFRG0006	-	scaffold01	-	21957	26722	15.012589	0.510995	0.831782
CFRG0007	-	scaffold01	+	27041	29765	1051.920776	35.805023	58.282314
CFRG0008	-	scaffold01	+	31161	35007	345.586151	11.762977	19.147413
CFRG0009	-	scaffold01	-	33191	34744	1.387686	0.047234	0.076886
CFRG0010	-	scaffold01	+	38095	38337	1951.950562	66.440018	108.149017
CFRG0011	-	scaffold01	+	39266	40793	316.862122	10.785275	17.555941
CFRG0012	-	scaffold01	-	41686	45768	422.071167	14.366355	23.385113
CFRG0013	-	scaffold01	+	45792	48853	160.137894	5.450734	8.872538
CFRG0014	-	scaffold01	-	48851	57946	549.550476	19.702993	32.071930
CFRG0015	-	scaffold01	+	57654	57929	35.111206	1.195107	1.945358
CFRG0016	-	scaffold01	-	59169	60322	241.352936	8.215112	13.372307
CFRG0017	-	scaffold01	+	60610	60864	0.000000	0.000000	0.000000
CFRG0018	-	scaffold01	+	62041	67036	154.779526	5.268348	8.575654
CFRG0019	-	scaffold01	-	68338	73019	1791.014160	65.945793	107.344536
CFRG0020	-	scaffold01	+	73527	76866	971.682861	34.920334	56.842251
CFRG0021	-	scaffold01	-	77139	91434	522.559753	18.046177	29.375011
CFRG0022	-	scaffold01	+	93276	97143	317.750641	10.815518	17.605169
CFRG0023	-	scaffold01	+	97530	110694	405.228149	13.794402	22.454105
CFRG0024	-	scaffold01	+	110779	113249	142.017426	4.873964	7.933690
CFRG0025	-	scaffold01	-	113397	117535	280.218292	9.538002	15.525667
CFRG0026	-	scaffold01	+	120565	123806	1564.624146	53.256294	86.688957
CFRG0027	-	scaffold01	-	123610	128822	309.383270	10.530712	17.141569
CFRG0028	-	scaffold01	+	133115	134400	2865.616699	97.539162	158.771255
CFRG0029	-	scaffold01	-	138057	144494	73.319237	2.495622	4.062297
CFRG0030	-	scaffold01	+	145996	159051	310.504883	10.568890	17.203714
CFRG0031	-	scaffold01	-	159452	160477	217.928879	7.417810	12.074483
CFRG0032	-	scaffold01	+	163117	163539	346.903076	11.807802	19.220377
CFRG0033	-	scaffold01	-	164720	169431	139.250351	4.763949	7.754610
CFRG0034	-	scaffold01	-	171081	174849	1210.289673	41.195541	67.056839
CFRG0035	-	scaffold01	+	177616	180270	859.065430	29.240658	47.597046
CFRG0036	-	scaffold01	-	180386	183107	1203.818604	52.532570	85.510910
CFRG0037	-	scaffold01	+	183393	185294	957.510559	32.591511	53.051456
CFRG0038	-	scaffold01	-	185976	187378	53922.789062	1835.410767	2987.625000
CFRG0039	-	scaffold01	+	188155	192584	1902.125732	64.907288	105.654091
CFRG0040	-	scaffold01	+	193230	198644	300.301758	10.397179	16.924208
CFRG0041	-	scaffold01	-	200178	206554	17.456400	0.594177	0.967183
CFRG0042	-	scaffold01	+	207279	210771	292.548065	9.957679	16.208805
CFRG0043	-	scaffold01	-	210656	214246	1045.788818	38.072697	61.973576
CFRG0044	-	scaffold01	+	214682	217061	3348.812988	113.986076	185.543045
CFRG0045	-	scaffold01	-	217466	219843	357.844940	12.180239	19.826618
CFRG0046	-	scaffold01	-	220883	223398	400.850586	13.644054	22.209373
CFRG0047	-	scaffold01	-	224279	227269	696.797729	23.717432	38.606506
CFRG0048	-	scaffold01	+	227990	229159	287.423004	9.783234	15.924849
CFRG0049	-	scaffold01	-	229458	232982	118.308929	4.026970	6.554979
CFRG0050	-	scaffold01	-	233487	239677	531.245789	18.756891	30.531891
CFRG0051	-	scaffold01	+	240054	248232	228.318405	7.919766	12.891553
CFRG0052	-	scaffold01	-	247228	261402	279.285461	9.506250	15.473983
CFRG0053	-	scaffold01	+	261587	267844	75.219986	2.568859	4.181510
CFRG0054	-	scaffold01	+	268521	270792	404.476562	13.768692	22.412252
CFRG0055	-	scaffold01	-	273159	274810	43.628067	1.485002	2.417240
CFRG0056	-	scaffold01	+	275536	277125	1092.455322	37.184727	60.528156
