Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CHLNCDRAFT_132866	-	scaffold_1	-	2674	4824	21.144100	61.945168	76.815445
CHLNCDRAFT_18766	-	scaffold_1	-	7438	9781	6.291060	18.430710	22.855103
CHLNCDRAFT_132868	-	scaffold_1	+	10118	11528	1.432950	4.198066	5.205835
CHLNCDRAFT_132869	-	scaffold_1	+	12061	20718	0.562500	1.647937	2.043534
CHLNCDRAFT_49305	-	scaffold_1	-	21178	27209	27.458914	80.445465	99.756844
CHLNCDRAFT_8203	-	scaffold_1	+	27683	30469	1.836937	5.381613	6.673499
CHLNCDRAFT_18721	-	scaffold_1	-	31166	34776	10.357093	30.342829	37.626793
CHLNCDRAFT_49308	-	scaffold_1	-	37581	40304	5.036886	14.756397	18.298752
CHLNCDRAFT_49309	-	scaffold_1	+	40829	42239	5.453390	15.976616	19.811890
CHLNCDRAFT_49310	-	scaffold_1	+	45064	52004	3.829439	11.218980	13.912158
CHLNCDRAFT_132881	-	scaffold_1	-	59694	61266	2.391975	7.007689	8.689924
CHLNCDRAFT_132884	-	scaffold_1	+	64728	65171	1.123874	3.292576	4.082977
CHLNCDRAFT_132885	-	scaffold_1	-	66262	73545	2.508863	7.350132	9.114573
CHLNCDRAFT_153950	-	scaffold_1	-	74107	76122	0.323450	0.947601	1.175077
CHLNCDRAFT_18104	-	scaffold_1	+	77202	80503	19.286413	56.502762	70.066566
CHLNCDRAFT_132888	-	scaffold_1	-	80696	81980	16.417431	48.097599	59.643696
CHLNCDRAFT_132889	-	scaffold_1	-	82170	85734	51.820976	151.818192	188.262985
CHLNCDRAFT_49318	-	scaffold_1	+	85986	86577	4.599082	13.473777	16.708231
CHLNCDRAFT_59525	-	scaffold_1	-	86362	89603	16.285887	47.712219	59.165802
CHLNCDRAFT_56429	-	scaffold_1	+	89749	91320	1.009639	2.957906	3.667967
CHLNCDRAFT_49321	-	scaffold_1	-	91821	95150	2.392063	7.007947	8.690244
CHLNCDRAFT_56430	-	scaffold_1	+	95364	101339	17.691879	51.831310	64.273705
CHLNCDRAFT_132895	-	scaffold_1	-	102340	103884	15.155279	44.399914	55.058361
CHLNCDRAFT_132896	-	scaffold_1	-	110365	111536	0.000000	0.000000	0.000000
CHLNCDRAFT_18492	-	scaffold_1	-	115997	117820	40.641220	119.065231	147.647491
CHLNCDRAFT_132898	-	scaffold_1	+	118213	121478	3.303468	9.678061	12.001332
CHLNCDRAFT_132900	-	scaffold_1	-	123117	124719	0.566277	1.659003	2.057256
CHLNCDRAFT_132901	-	scaffold_1	-	125625	129279	6.405574	18.766195	23.271126
CHLNCDRAFT_132902	-	scaffold_1	+	129789	132445	15.702541	46.003212	57.046535
CHLNCDRAFT_132903	-	scaffold_1	+	132726	135689	0.995844	2.917491	3.617851
CHLNCDRAFT_33435	-	scaffold_1	-	143427	149071	12.265917	35.935047	44.561455
CHLNCDRAFT_132907	-	scaffold_1	+	150030	163923	4.193939	12.286844	15.236369
