target_id	length	eff_length	est_counts	tpm
CPERKG00000000001.1	121	17.458	0	0
CPERKG00000000002.1	1956	1739.91	179	1.23911
CPERKG00000000003.1	6096	5879.91	2215	4.53719
CPERKG00000000004.1	4519	4302.91	11198	31.3445
CPERKG00000000005.1	6397	6180.91	23876.5	46.5266
CPERKG00000000006.1	1122	905.907	1420.54	18.8865
CPERKG00000000007.1	435	233.053	1651	85.3249
CPERKG00000000008.1	1134	917.907	1721	22.5822
CPERKG00000000009.1	2918	2701.91	30566.1	136.255
CPERKG00000000010.1	1086	869.907	6115.94	84.6786
CPERKG00000000011.1	1961	1744.91	5515.2	38.0691
CPERKG00000000012.1	1316	1099.91	8074.8	88.4218
CPERKG00000000013.1	1309	1092.91	9766	107.626
CPERKG00000000014.1	3344	3127.91	16721	64.3861
CPERKG00000000015.1	2208	1991.91	31591.4	191.022
CPERKG00000000016.1	1232	1015.91	2557.61	30.3224
CPERKG00000000017.1	5087	4870.91	11869	29.3486
CPERKG00000000018.1	4752	4535.91	5528	14.6787
CPERKG00000000019.1	4012	3795.91	2077.84	6.59295
CPERKG00000000020.1	1005	788.907	1997.16	30.4909
CPERKG00000000021.1	1224	1007.91	2306	27.5564
CPERKG00000000022.1	3681	3464.91	2550	8.86405
CPERKG00000000023.1	3318	3101.91	1929	7.49009
CPERKG00000000024.1	2211	1994.91	2563	15.4742
CPERKG00000000025.1	910	693.907	1432	24.8557
CPERKG00000000026.1	1498	1281.91	1785	16.7712
CPERKG00000000027.1	1033	816.907	19219	283.362
CPERKG00000000028.1	1269	1052.91	4402	50.3551
CPERKG00000000029.1	1906	1689.91	7715	54.9866
CPERKG00000000030.1	1352	1135.91	8386	88.9192
CPERKG00000000031.1	1629	1412.91	964	8.21764
CPERKG00000000032.1	2769	2552.91	3291	15.5266
CPERKG00000000033.1	2014	1797.91	9938.98	66.5822
CPERKG00000000034.1	768	552.087	383.016	8.35591
CPERKG00000000035.1	1338	1121.91	209	2.24374
CPERKG00000000036.1	2041	1824.91	7627	50.3381
CPERKG00000000037.1	936	719.907	312	5.21989
CPERKG00000000038.1	867	650.907	5343	98.8666
CPERKG00000000039.1	1323	1106.91	3056	33.2526
CPERKG00000000040.1	2515	2298.91	6916	36.2341
CPERKG00000000041.1	534	323.528	31047	1155.82
CPERKG00000000042.1	3163	2946.91	5710	23.3374
CPERKG00000000043.1	2065	1848.91	1962	12.7811
CPERKG00000000044.1	2047	1830.91	3406	22.4059
CPERKG00000000045.1	2463	2246.91	3617	19.3886
CPERKG00000000046.1	969	752.907	0	0
CPERKG00000000047.1	1523	1306.91	2034	18.7452
CPERKG00000000048.1	3723	3506.91	8740	30.0172
CPERKG00000000049.1	2724	2507.91	12555	60.296
CPERKG00000000050.1	1500	1283.91	0	0
CPERKG00000000051.1	1865	1648.91	1731.25	12.6458
CPERKG00000000051.2	1969	1752.91	437.752	3.00783
CPERKG00000000052.1	1274	1057.91	9497	108.124
CPERKG00000000053.1	11405	11188.9	7308.06	7.8668
CPERKG00000000054.1	3935	3718.91	1377.01	4.4597
CPERKG00000000055.1	3693	3476.91	328.927	1.13944
CPERKG00000000056.1	1274	1057.91	1383	15.7456
CPERKG00000000057.1	3175	2958.91	14109	57.4313
CPERKG00000000058.1	2991	2774.91	4674	20.2873
CPERKG00000000059.1	513	303.673	5046	200.136
CPERKG00000000060.1	417	217.276	6635	367.802
CPERKG00000000061.1	1314	1097.91	129	1.41517
CPERKG00000000062.1	1106	889.907	1406	19.0294
CPERKG00000000063.1	1025	808.907	132	1.96544
CPERKG00000000064.1	2258	2041.91	893	5.26743
CPERKG00000000065.1	11178	10961.9	2752	3.02375
CPERKG00000000066.1	10296	10079.9	354.082	0.423088
CPERKG00000000067.1	9058	8841.91	7248.92	9.8744
CPERKG00000000068.1	3336	3119.91	3027	11.6857
CPERKG00000000069.1	1554	1337.91	1171	10.5418
CPERKG00000000070.1	1621	1404.91	21	0.180034
CPERKG00000000071.1	582	369.557	247	8.05006
CPERKG00000000072.1	1194	977.907	23	0.283279
CPERKG00000000073.1	2589	2372.91	4634	23.5212
CPERKG00000000074.1	2013	1796.91	10536	70.621
CPERKG00000000075.1	1866	1649.91	565	4.12451
CPERKG00000000076.1	1176	959.907	963	12.0832
CPERKG00000000077.1	2334	2117.91	2429	13.8135
CPERKG00000000078.1	2062	1845.91	2900.16	18.9232
CPERKG00000000079.1	801	585.029	1063.84	21.902
CPERKG00000000080.1	3684	3467.91	6648	23.0891
CPERKG00000000081.1	1223	1006.91	26408	315.885
CPERKG00000000082.1	2337	2120.91	545	3.09498
CPERKG00000000083.1	5923	5706.91	971.764	2.0509
CPERKG00000000084.1	2850	2633.91	388.502	1.77655
CPERKG00000000085.1	2757	2540.91	7010	33.2287
CPERKG00000000086.1	1401	1184.91	0	0
CPERKG00000000087.1	2303	2086.91	3852.5	22.2343
CPERKG00000000087.2	2373	2156.91	188.075	1.05023
CPERKG00000000088.1	915	698.907	2722.42	46.9158
CPERKG00000000089.1	1861	1644.91	1116	8.17159
CPERKG00000000090.1	2126	1909.91	191	1.20449
CPERKG00000000091.1	1551	1334.91	1	0.00902262
CPERKG00000000092.1	4348	4131.91	2602	7.58473
CPERKG00000000093.1	3102	2885.91	3227	13.4679
CPERKG00000000094.1	1065	848.907	184	2.61061
CPERKG00000000095.1	1128	911.907	20	0.264157
CPERKG00000000096.1	4507	4290.91	2815	7.90156
CPERKG00000000097.1	3082	2865.91	1759	7.39243
CPERKG00000000098.1	609	395.676	3619	110.162
CPERKG00000000099.1	6177	5960.91	8448.91	17.0715
CPERKG00000000100.1	2358	2141.91	573.089	3.22259
CPERKG00000000101.1	2078	1861.91	4738	30.6493
CPERKG00000000102.1	2756	2539.91	803	3.80786
CPERKG00000000103.1	2977	2760.91	13564.5	59.1744
CPERKG00000000104.1	1689	1472.91	6670.54	54.5468
CPERKG00000000105.1	3237	3020.91	4572	18.2286
CPERKG00000000106.1	2897	2680.91	6894.33	30.9738
CPERKG00000000107.1	1935	1718.91	1546.67	10.8375
CPERKG00000000108.1	2293	2076.91	18852	109.326
CPERKG00000000109.1	1221	1004.91	0	0
CPERKG00000000110.1	1096	879.907	6667	91.2593
CPERKG00000000111.1	2505	2288.91	2332	12.2711
CPERKG00000000112.1	5162	4945.91	1827	4.44914
CPERKG00000000113.1	2920	2703.91	3271	14.5704
CPERKG00000000114.1	2073	1856.91	1961	12.7195
CPERKG00000000115.1	2733	2516.91	1638	7.83845
CPERKG00000000116.1	1080	863.907	0	0
CPERKG00000000117.1	4735	4518.91	252.69	0.673502
CPERKG00000000117.2	4287	4070.91	87851.4	259.921
CPERKG00000000117.3	4661	4444.91	3.75374	0.0101715
CPERKG00000000117.4	4815	4598.91	5240.11	13.7236
CPERKG00000000118.1	3321	3104.91	0	0
CPERKG00000000119.1	3083	2866.91	3816	16.0317
CPERKG00000000120.1	1377	1160.91	7719	80.0843
CPERKG00000000121.1	1155	938.907	1169	14.996
CPERKG00000000122.1	1625	1408.91	2597	22.201
CPERKG00000000123.1	981	764.907	924.646	14.5596
CPERKG00000000124.1	1752	1535.91	1024.35	8.03283
CPERKG00000000125.1	2060	1843.91	18978	123.964
CPERKG00000000126.1	2835	2618.91	1558	7.16524
CPERKG00000000127.1	807	591.029	1836	37.4151
CPERKG00000000128.1	479	272.595	2765	122.169
CPERKG00000000129.1	844	627.907	2531	48.549
CPERKG00000000130.1	1050	833.907	2538	36.657
CPERKG00000000131.1	834	617.969	1097	21.3808
CPERKG00000000132.1	1370	1153.91	3519	36.7309
CPERKG00000000133.1	1680	1463.91	27	0.222144
CPERKG00000000134.1	1671	1454.91	2	0.0165569
CPERKG00000000135.1	1769	1552.91	2154	16.7064
CPERKG00000000136.1	2111	1894.91	3636	23.111
CPERKG00000000137.1	1008	791.907	1450.56	22.0621
CPERKG00000000138.1	1726	1509.91	2701.44	21.549
CPERKG00000000139.1	1119	902.907	1785	23.8111
CPERKG00000000140.1	5249	5032.91	8442	20.2027
CPERKG00000000141.1	1074	857.907	7119	99.9453
CPERKG00000000142.1	1937	1720.91	1394	9.75638
CPERKG00000000143.1	6363	6146.91	4127	8.08651
CPERKG00000000144.1	2019	1802.91	4288	28.6461
CPERKG00000000145.1	1415	1198.91	1774	17.8218
CPERKG00000000146.1	1494	1277.91	73	0.68803
CPERKG00000000147.1	1973	1756.91	5796	39.7341
CPERKG00000000148.1	1654	1437.91	2445	20.4801
CPERKG00000000149.1	2541	2324.91	7301	37.8234
CPERKG00000000150.1	2505	2288.91	4401	23.1583
CPERKG00000000151.1	459	254.603	0	0
CPERKG00000000152.1	1969	1752.91	2483	17.0609
CPERKG00000000153.1	912	695.907	1429	24.7323
CPERKG00000000154.1	2037	1820.91	1584	10.4773
CPERKG00000000155.1	951	734.907	5199	85.2061
CPERKG00000000156.1	2126	1909.91	693	4.37023
CPERKG00000000157.1	372	178.442	913	61.6251
CPERKG00000000158.1	1666	1449.91	8618	71.5896
CPERKG00000000159.1	1601	1384.91	4899	42.606
CPERKG00000000160.1	2132	1915.91	3970	24.9574
CPERKG00000000161.1	6078	5861.91	3387.03	6.95927
