Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
NGRUG00000027206	-	CP062077.1_RagTag	-	3403	3882	2.810417	0.108227	0.125155
NGRUG00000027210	-	CP062077.1_RagTag	-	3953	8656	3.599702	0.138621	0.160303
NGRUG00000027214	-	CP062077.1_RagTag	+	8920	10093	271.064728	10.438471	12.071173
NGRUG00000027220	-	CP062077.1_RagTag	+	10485	11096	6.272876	0.241563	0.279346
NGRUG00000027224	-	CP062077.1_RagTag	-	11300	13069	3.883615	0.149555	0.172947
NGRUG00000027228	-	CP062077.1_RagTag	+	13565	14480	32.919212	1.267691	1.465973
NGRUG00000027233	-	CP062077.1_RagTag	-	15910	16898	1070.053955	41.206863	47.652107
NGRUG00000027239	-	CP062077.1_RagTag	-	17031	17659	11707.440430	450.843506	521.360840
NGRUG00000027245	-	CP062077.1_RagTag	-	18212	19865	1384.815796	53.328072	61.669216
NGRUG00000027253	-	CP062077.1_RagTag	-	20536	25661	43.854782	1.688810	1.952960
NGRUG00000027258	-	CP062077.1_RagTag	-	25861	29793	70.456871	2.713234	3.137616
NGRUG00000027262	-	CP062077.1_RagTag	-	31100	32527	1249.641846	48.122643	55.649593
NGRUG00000027268	-	CP062077.1_RagTag	-	34410	35297	1336.901978	51.482952	59.535503
NGRUG00000027272	-	CP062077.1_RagTag	-	35390	36166	189.262543	7.288339	8.428322
NGRUG00000027276	-	CP062077.1_RagTag	+	36375	39865	758.086975	29.193281	33.759460
NGRUG00000027284	-	CP062077.1_RagTag	-	38081	39619	0.000000	0.000000	0.000000
NGRUG00000027300	-	CP062077.1_RagTag	-	44425	45825	1.137045	0.043787	0.050635
NGRUG00000027288	-	CP062077.1_RagTag	+	40622	41984	1996.862427	76.897461	88.925148
NAEGRDRAFT_57327	-	CP062077.1_RagTag	+	42081	43431	324.615082	12.500649	14.455899
NGRUG00000027296	-	CP062077.1_RagTag	+	43525	44337	20.157442	0.776246	0.897660
NGRUG00000027304	-	CP062077.1_RagTag	-	46583	47314	69.034988	2.658478	3.074296
NGRUG00000027312	-	CP062077.1_RagTag	-	47588	49096	563.390747	21.695698	25.089161
NGRUG00000027320	-	CP062077.1_RagTag	-	49234	51271	142.970779	5.505682	6.366837
NGRUG00000027328	-	CP062077.1_RagTag	-	53083	55268	256.370514	9.872609	11.416803
NGRUG00000027338	-	CP062077.1_RagTag	+	53245	54025	0.249697	0.009616	0.011120
NGRUG00000027343	-	CP062077.1_RagTag	-	55401	56710	841.422913	32.402477	37.470612
NAEGRDRAFT_64585	-	CP062077.1_RagTag	-	56895	58169	0.666667	0.025673	0.029688
NGRUG00000027369	-	CP062077.1_RagTag	+	65329	67334	5.638086	0.217118	0.251078
NAEGRDRAFT_76948	-	CP062077.1_RagTag	+	67475	67997	9.293036	0.357867	0.413842
NGRUG00000027349	-	CP062077.1_RagTag	+	58869	62550	291.500977	11.225453	12.981249
NGRUG00000027361	-	CP062077.1_RagTag	+	62733	64229	735.345520	28.317526	32.746727
NGRUG00000027425	-	CP062077.1_RagTag	+	87724	88469	60.501339	2.329855	2.694272
NGRUG00000027374	-	CP062077.1_RagTag	+	69122	70135	1.895463	0.072993	0.084410
NGRUG00000027378	-	CP062077.1_RagTag	+	70269	75682	390.271393	15.029018	17.379736
NGRUG00000027386	-	CP062077.1_RagTag	-	74541	77887	37.541859	1.445705	1.671830
NAEGRDRAFT_64578	-	CP062077.1_RagTag	-	76583	77710	11.623139	0.447597	0.517607
NGRUG00000027394	-	CP062077.1_RagTag	-	77995	78465	2.815287	0.108414	0.125372
NGRUG00000027398	-	CP062077.1_RagTag	+	80002	83336	376.786957	14.509743	16.779240
NGRUG00000027409	-	CP062077.1_RagTag	-	82283	83320	0.000000	0.000000	0.000000
NGRUG00000027413	-	CP062077.1_RagTag	-	84008	85601	226.006897	8.703332	10.064637
NAEGRDRAFT_78826	-	CP062077.1_RagTag	+	84051	84917	0.000000	0.000000	0.000000
NGRUG00000027419	-	CP062077.1_RagTag	-	85604	87276	137.869095	5.309221	6.139646
NGRUG00000027431	-	CP062077.1_RagTag	+	90225	91054	35.544579	1.368791	1.582887
NGRUG00000027436	-	CP062077.1_RagTag	+	91141	93168	222.121811	8.553720	9.891624
NGRUG00000027441	-	CP062077.1_RagTag	+	93169	94169	82.212784	3.165944	3.661135
NGRUG00000027446	-	CP062077.1_RagTag	-	94231	98590	39.831650	1.533883	1.773800
NGRUG00000027452	-	CP062077.1_RagTag	+	98717	101296	568.641113	21.897884	25.322971
NGRUG00000027460	-	CP062077.1_RagTag	-	102022	104318	29.976492	1.154369	1.334926
NGRUG00000027465	-	CP062077.1_RagTag	-	104636	106683	106.080177	4.085057	4.724009
NGRUG00000027471	-	CP062077.1_RagTag	-	107180	109075	2499.726074	96.262314	111.318886
NGRUG00000027480	-	CP062077.1_RagTag	-	109179	110230	121.525665	4.679850	5.411834
NAEGRDRAFT_47126	-	CP062077.1_RagTag	+	134217	134569	19.288952	0.742801	0.858984
NGRUG00000027486	-	CP062077.1_RagTag	-	113728	116756	6.383200	0.245812	0.284259
NGRUG00000027492	-	CP062077.1_RagTag	-	117525	121226	261.072662	10.053685	11.626201
NGRUG00000027498	-	CP062077.1_RagTag	-	121361	122003	72078.203125	2775.669922	3209.817871
NGRUG00000027506	-	CP062077.1_RagTag	+	122935	123867	577.650574	22.244829	25.724186
NGRUG00000027510	-	CP062077.1_RagTag	-	123971	126378	2875.478516	110.732216	128.052063
NGRUG00000027516	-	CP062077.1_RagTag	-	127440	130885	33.778900	1.300797	1.504257
NAEGRDRAFT_64553	-	CP062077.1_RagTag	-	131533	132426	71.206932	2.742118	3.171018
NAEGRDRAFT_76915	-	CP062077.1_RagTag	+	154468	154615	0.662162	0.025499	0.029488
NGRUG00000027574	-	CP062077.1_RagTag	+	154956	158015	7.946732	0.306022	0.353887
NGRUG00000027578	-	CP062077.1_RagTag	-	158072	160495	61.350048	2.362538	2.732067
NGRUG00000027523	-	CP062077.1_RagTag	-	136073	138244	67.958099	2.617008	3.026340
NGRUG00000027529	-	CP062077.1_RagTag	-	138532	139500	15.759546	0.606887	0.701811
NGRUG00000027533	-	CP062077.1_RagTag	-	139544	144332	14.965655	0.576315	0.666457
NGRUG00000027539	-	CP062077.1_RagTag	+	145323	146685	5663.763184	219.701859	254.065842
NGRUG00000027562	-	CP062077.1_RagTag	-	146723	148462	6.413218	0.246968	0.285596
NGRUG00000027566	-	CP062077.1_RagTag	-	148751	149746	100.254021	3.860697	4.464556
NGRUG00000027570	-	CP062077.1_RagTag	-	149947	152256	106.155846	4.087971	4.727378
NGRUG00000027630	-	CP062077.1_RagTag	-	173759	174291	13.602251	0.523811	0.605741
NGRUG00000027584	-	CP062077.1_RagTag	+	162654	163526	55.746498	2.146750	2.482527
NGRUG00000027594	-	CP062077.1_RagTag	+	163587	164785	41.009525	1.579242	1.826254
NGRUG00000027600	-	CP062077.1_RagTag	-	164790	166508	8.698080	0.334956	0.387347
NGRUG00000027604	-	CP062077.1_RagTag	+	167236	168414	9474.433594	364.852325	421.919617
NGRUG00000027612	-	CP062077.1_RagTag	+	168507	171254	107.372635	4.134828	4.781565
NGRUG00000027616	-	CP062077.1_RagTag	-	171273	171845	4.310476	0.165993	0.191956
NGRUG00000027622	-	CP062077.1_RagTag	-	171871	173326	145.075836	5.586746	6.460580
NGRUG00000027636	-	CP062077.1_RagTag	-	175690	181654	154.308456	5.942287	6.871732
NAEGRDRAFT_64537	-	CP062077.1_RagTag	-	181796	182896	83.007820	3.196560	3.696541
NAEGRDRAFT_64533	-	CP062077.1_RagTag	+	190296	191025	1.146575	0.044154	0.051060
NGRUG00000027643	-	CP062077.1_RagTag	-	185138	186175	372.718689	14.353079	16.598070
NGRUG00000027647	-	CP062077.1_RagTag	-	186732	187074	996.266663	38.365379	44.366180
NGRUG00000027653	-	CP062077.1_RagTag	+	187111	189535	186.656357	7.187977	8.312262
NGRUG00000027661	-	CP062077.1_RagTag	-	188243	189151	1.816138	0.069938	0.080877
NGRUG00000027665	-	CP062077.1_RagTag	+	191536	192558	0.728250	0.028044	0.032431
NGRUG00000027669	-	CP062077.1_RagTag	-	192612	192962	2.752137	0.105982	0.122559
NGRUG00000027673	-	CP062077.1_RagTag	-	192994	194238	140.801437	5.422143	6.270231
NGRUG00000027679	-	CP062077.1_RagTag	+	195237	197478	83.658302	3.221610	3.725508
NGRUG00000027688	-	CP062077.1_RagTag	-	197475	200283	1046.068848	40.283218	46.583992
