Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
APARG00000000004	-	chr1	-	11607	13442	0.000000	0.000000	0.000000
APARG00000000011	-	chr1	+	43342	48505	601.766052	25.985813	35.867870
APARG00000000013	-	chr1	-	57240	57470	17.040043	0.654837	0.903863
APARG00000000014	-	chr1	+	58800	59970	0.000000	0.000000	0.000000
APARG00000000016	-	chr1	-	68804	73258	7.631300	0.293266	0.404791
APARG00000000017	-	chr1	-	73356	73715	3.201275	0.123023	0.169807
APARG00000000021	-	chr1	+	81670	82380	0.028411	0.001092	0.001507
APARG00000000022	-	chr1	+	89515	90810	9.236861	0.354966	0.489955
APARG00000000023	-	chr1	+	96448	96804	1.109244	0.042627	0.058838
APARG00000000027	-	chr1	-	114385	137445	369.277802	14.518957	20.040323
APARG00000000028	-	chr1	+	136309	137507	8.947186	0.343834	0.474590
APARG00000000029	-	chr1	+	137551	146516	485.255676	18.648045	25.739649
APARG00000000030	-	chr1	-	147693	150942	228.824799	8.793581	12.137664
APARG00000000031	-	chr1	-	153663	160478	364.818146	14.019712	19.351223
APARG00000000032	-	chr1	-	160622	161734	14.119272	0.542594	0.748935
APARG00000000034	-	chr1	-	164154	165326	5.601919	0.215278	0.297145
APARG00000000035	-	chr1	+	170551	177093	3947.643555	151.705261	209.396759
APARG00000000036	-	chr1	-	178201	187497	598.054382	22.982824	31.722885
APARG00000000037	-	chr1	+	187652	199342	105.923103	4.213293	5.815552
APARG00000000038	-	chr1	-	209537	229434	237.429688	9.124261	12.594096
APARG00000000039	-	chr1	+	229610	258125	185.083267	7.112624	9.817460
APARG00000000040	-	chr1	-	260501	276778	7401.449219	284.441010	392.610107
APARG00000000041	-	chr1	-	284794	302741	148.383194	5.702265	7.870761
APARG00000000042	-	chr1	+	302715	311227	153.122375	5.884388	8.122143
APARG00000000043	-	chr1	-	315877	320890	797.691833	30.654753	42.312351
APARG00000000044	-	chr1	+	322159	323199	293.403931	11.275313	15.563166
APARG00000000045	-	chr1	-	323705	339632	272.072601	10.634640	14.678852
APARG00000000046	-	chr1	-	340911	344292	1.189901	0.045727	0.063116
APARG00000000047	-	chr1	+	345522	346666	5.743535	0.220720	0.304657
APARG00000000050	-	chr1	-	353772	356875	20.514540	0.788360	1.088163
APARG00000000051	-	chr1	+	357978	364470	31.633060	1.215637	1.677927
APARG00000000052	-	chr1	-	371517	406155	465.965424	17.906734	24.716427
APARG00000000053	-	chr1	+	371737	373074	0.000000	0.000000	0.000000
APARG00000000057	-	chr1	-	436812	439869	190.183151	7.308609	10.087976
APARG00000000059	-	chr1	+	443980	444672	4.810178	0.184852	0.255149
APARG00000000060	-	chr1	+	445267	446412	23.894386	0.918245	1.267441
APARG00000000062	-	chr1	-	451355	465400	1576.927612	60.600254	83.645729
APARG00000000063	-	chr1	-	467800	472654	139.769562	5.371249	7.413864
APARG00000000064	-	chr1	+	473575	483550	247.823929	9.530100	13.154270
APARG00000000067	-	chr1	+	495459	495953	6.280373	0.241350	0.333133
APARG00000000068	-	chr1	-	497553	504881	6.140946	0.235992	0.325737
APARG00000000069	-	chr1	+	509042	512245	1496.374634	64.691727	89.293129
APARG00000000070	-	chr1	-	516653	518436	4175.658203	160.467697	221.491440
APARG00000000071	-	chr1	+	520006	522449	8383.712891	322.180389	444.701294
APARG00000000072	-	chr1	+	532440	540423	27.345901	1.050884	1.450522
APARG00000000073	-	chr1	-	543008	544019	913.026794	35.086998	48.430119
APARG00000000074	-	chr1	+	557954	566238	1740.094238	78.245575	108.001328
APARG00000000075	-	chr1	+	567230	570868	0.014018	0.000539	0.000744
