Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CFRG0001	-	scaffold01	-	102	1111	1.893067	0.058015	0.097478
CFRG0002	-	scaffold01	+	4441	10975	77.884407	2.496316	4.194317
CFRG0003	-	scaffold01	-	10970	17382	1615.636230	49.513264	83.192299
CFRG0004	-	scaffold01	+	17893	19236	41256.300781	1264.352783	2124.368408
CFRG0005	-	scaffold01	+	19821	21872	628.920837	19.274094	32.384377
CFRG0006	-	scaffold01	-	21957	26722	87.535042	2.682625	4.507352
CFRG0007	-	scaffold01	+	27041	29765	2600.422363	79.693314	133.900879
CFRG0008	-	scaffold01	+	31161	35007	386.182861	11.835074	19.885317
CFRG0009	-	scaffold01	-	33191	34744	2.835187	0.086888	0.145989
CFRG0010	-	scaffold01	+	38095	38337	5303.098633	162.520325	273.067047
CFRG0011	-	scaffold01	+	39266	40793	666.716309	20.432386	34.330540
CFRG0012	-	scaffold01	-	41686	45768	348.750488	10.687910	17.957851
CFRG0013	-	scaffold01	+	45792	48853	201.854065	6.186079	10.393865
CFRG0014	-	scaffold01	-	48851	57946	2063.330811	67.056313	112.668159
CFRG0015	-	scaffold01	+	57654	57929	64.886253	1.988523	3.341121
CFRG0016	-	scaffold01	-	59169	60322	898.504883	27.535845	46.265793
CFRG0017	-	scaffold01	+	60610	60864	0.000000	0.000000	0.000000
CFRG0018	-	scaffold01	+	62041	67036	244.548462	7.528995	12.650234
CFRG0019	-	scaffold01	-	68338	73019	2698.353027	89.313248	150.064316
CFRG0020	-	scaffold01	+	73527	76866	529.705566	17.275723	29.026707
CFRG0021	-	scaffold01	-	77139	91434	341.653442	10.543011	17.714390
CFRG0022	-	scaffold01	+	93276	97143	456.764465	13.998138	23.519705
CFRG0023	-	scaffold01	+	97530	110694	1180.378296	36.176418	60.783699
CFRG0024	-	scaffold01	+	110779	113249	181.509567	5.625141	9.451374
CFRG0025	-	scaffold01	-	113397	117535	76.289238	2.337982	3.928284
CFRG0026	-	scaffold01	+	120565	123806	1252.419312	38.382011	64.489548
CFRG0027	-	scaffold01	-	123610	128822	676.903564	20.744587	34.855103
CFRG0028	-	scaffold01	+	133115	134400	102.720062	3.147989	5.289259
CFRG0029	-	scaffold01	-	138057	144494	59.798279	1.832596	3.079132
CFRG0030	-	scaffold01	+	145996	159051	720.798462	22.089804	37.115337
CFRG0031	-	scaffold01	-	159452	160477	45.449318	1.392853	2.340275
CFRG0032	-	scaffold01	+	163117	163539	69.744682	2.137416	3.591291
CFRG0033	-	scaffold01	-	164720	169431	24.782963	0.768398	1.291065
CFRG0034	-	scaffold01	-	171081	174849	206.749023	6.336092	10.645916
CFRG0035	-	scaffold01	+	177616	180270	1740.967529	53.354206	89.645859
CFRG0036	-	scaffold01	-	180386	183107	1568.392334	61.947708	104.084686
CFRG0037	-	scaffold01	+	183393	185294	2882.389404	88.334557	148.419922
CFRG0038	-	scaffold01	-	185976	187378	49701.531250	1523.167725	2559.229980
CFRG0039	-	scaffold01	+	188155	192584	671.614258	20.681282	34.748737
CFRG0040	-	scaffold01	+	193230	198644	404.009705	12.579442	21.136007
CFRG0041	-	scaffold01	-	200178	206554	20.040436	0.614165	1.031922
CFRG0042	-	scaffold01	+	207279	210771	567.540405	17.393011	29.223778
CFRG0043	-	scaffold01	-	210656	214246	2189.476562	71.722351	120.508057
CFRG0044	-	scaffold01	+	214682	217061	2550.553711	78.165024	131.333038
CFRG0045	-	scaffold01	-	217466	219843	623.169189	19.097826	32.088215
CFRG0046	-	scaffold01	-	220883	223398	788.940796	24.178112	40.624119
CFRG0047	-	scaffold01	-	224279	227269	47.022068	1.441052	2.421259
CFRG0048	-	scaffold01	+	227990	229159	81.423973	2.495343	4.192681
CFRG0049	-	scaffold01	-	229458	232982	60.747028	1.861671	3.127985
CFRG0050	-	scaffold01	-	233487	239677	362.082184	11.627892	19.537209
CFRG0051	-	scaffold01	+	240054	248232	908.852173	28.248957	47.463963
CFRG0052	-	scaffold01	-	247228	261402	551.255127	16.893929	28.385214
CFRG0053	-	scaffold01	+	261587	267844	238.777054	7.333785	12.322242
CFRG0054	-	scaffold01	+	268521	270792	437.891296	13.422122	22.551880
CFRG0055	-	scaffold01	-	273159	274810	69.914574	2.142623	3.600040
CFRG0056	-	scaffold01	+	275536	277125	805.868408	24.696882	41.495758
CFRG0057	-	scaffold01	-	279439	280815	30.117796	0.922999	1.550825
CFRG0058	-	scaffold01	-	280991	283391	5621.811523	239.311676	402.092010
CFRG0059	-	scaffold01	-	283945	284554	3.339564	0.102345	0.171961
CFRG0060	-	scaffold01	+	285093	292362	231.038757	7.080482	11.896642
CFRG0061	-	scaffold01	-	291677	296583	686.279602	21.031929	35.337894
CFRG0062	-	scaffold01	+	301356	306801	132.295074	4.073530	6.844355
CFRG0063	-	scaffold01	-	307463	308071	864.262695	26.486450	44.502594
CFRG0064	-	scaffold01	+	309656	316075	206.540115	6.329690	10.635159
CFRG0065	-	scaffold01	-	316139	318333	2822.303467	86.493141	145.325989
CFRG0066	-	scaffold01	-	319865	324627	1295.171387	39.692204	66.690933
CFRG0067	-	scaffold01	+	325543	329509	39.391121	1.207192	2.028327
CFRG0068	-	scaffold01	-	329558	331854	223.374405	6.845598	11.501989
CFRG0069	-	scaffold01	+	332062	334990	509.179504	15.604465	26.218658
CFRG0070	-	scaffold01	-	335217	338711	4682.605469	143.504517	241.116608
CFRG0071	-	scaffold01	+	339434	343370	582.873779	17.862923	30.013323
CFRG0072	-	scaffold01	-	343487	349042	1101.241699	33.998783	57.124825
CFRG0073	-	scaffold01	-	350843	356950	55.148033	1.690083	2.839681
CFRG0074	-	scaffold01	+	359091	363055	1334.276245	40.890625	68.704521
CFRG0075	-	scaffold01	-	363084	363799	84.199005	2.580388	4.335573
CFRG0076	-	scaffold01	-	365332	365697	0.710383	0.021771	0.036579
CFRG0077	-	scaffold01	-	366293	369132	1367.553833	41.910461	70.418045
CFRG0078	-	scaffold01	+	369452	373214	465.541565	14.302313	24.030779
CFRG0079	-	scaffold01	-	373625	374151	16997.808594	520.919861	875.250732
CFRG0080	-	scaffold01	+	374876	380420	310.708740	9.905912	16.643936
CFRG0081	-	scaffold01	-	380600	382426	289.807373	8.881522	14.922753
CFRG0082	-	scaffold01	+	384545	387263	839.470886	25.726673	43.226017
CFRG0083	-	scaffold01	-	387606	389471	107.244766	3.286655	5.522245
CFRG0084	-	scaffold01	+	390574	395723	544.385864	16.683411	28.031504
CFRG0085	-	scaffold01	+	396829	403190	315.226898	9.660536	16.231657
CFRG0086	-	scaffold01	+	403706	408226	1249.246582	38.284779	64.326172
CFRG0087	-	scaffold01	+	408993	413528	637.779724	19.565483	32.873966
CFRG0088	-	scaffold01	-	412576	420623	436.077423	15.253199	25.628460
CFRG0089	-	scaffold01	+	420746	424256	579.423157	17.757174	29.835644
CFRG0090	-	scaffold01	-	423959	429174	1422.676758	43.599770	73.256432
CFRG0091	-	scaffold01	+	429637	432367	605.123657	18.544798	31.159012
CFRG0092	-	scaffold01	-	432067	436158	4929.148926	166.401978	279.588989
CFRG0093	-	scaffold01	+	436596	437810	823.604065	25.240414	42.409000
CFRG0094	-	scaffold01	-	438145	442438	539.320923	16.528189	27.770699
CFRG0095	-	scaffold01	+	442838	448460	554.198059	17.467630	29.349150
CFRG0096	-	scaffold01	-	447227	451624	528.586853	16.199230	27.217981
CFRG0097	-	scaffold01	-	452905	455682	454.475189	13.927980	23.401825
CFRG0098	-	scaffold01	+	455852	456611	1818.714600	55.736866	93.649208
CFRG0099	-	scaffold01	+	458981	461809	8225.556641	252.082840	423.550140
CFRG0100	-	scaffold01	+	463425	465260	44.004929	1.348588	2.265901
CFRG0101	-	scaffold01	-	464767	466757	103.482132	3.171344	5.328499
CFRG0102	-	scaffold01	+	466951	482308	276.271729	8.625698	14.492916
CFRG0103	-	scaffold01	-	481508	488546	475.202301	14.563190	24.469105
CFRG0104	-	scaffold01	-	490052	502088	392.231934	12.020456	20.196796
CFRG0105	-	scaffold01	+	503501	505240	587.896423	22.476070	37.764343
CFRG0106	-	scaffold01	-	509108	526607	153.354797	4.699757	7.896542
CFRG0107	-	scaffold01	+	528418	534508	79.747139	2.443954	4.106338
CFRG0108	-	scaffold01	+	535071	545487	545.600098	16.720623	28.094028
CFRG0109	-	scaffold01	-	544510	544797	0.000000	0.000000	0.000000
CFRG0110	-	scaffold01	-	544870	545214	0.000000	0.000000	0.000000
CFRG0111	-	scaffold01	-	545894	547334	7.323997	0.224453	0.377127
CFRG0112	-	scaffold01	+	548595	551742	368.897614	11.941929	20.064857
CFRG0113	-	scaffold01	-	552262	559014	589.664185	19.464628	32.704510
CFRG0114	-	scaffold01	+	561579	563510	890.654236	27.295252	45.861546
CFRG0115	-	scaffold01	+	564992	565540	185.185806	5.675259	9.535583
CFRG0116	-	scaffold01	+	566535	577859	909.190857	27.863333	46.816032
CFRG0117	-	scaffold01	-	576143	577626	37.759686	1.157194	1.944321
CFRG0118	-	scaffold01	-	578216	579372	5.333333	0.163447	0.274624
CFRG0119	-	scaffold01	-	580212	586453	1238.614502	37.958946	63.778709
CFRG0121	-	scaffold01	-	587309	588935	241.043518	7.387091	12.411807
CFRG0120	-	scaffold01	+	587735	588163	176.476883	5.408363	9.087143
CFRG0122	-	scaffold01	-	589941	593433	753.145813	23.081129	38.780964
CFRG0123	-	scaffold01	+	594194	598393	2465.947266	75.572144	126.976501
CFRG0124	-	scaffold01	-	599325	603866	0.542020	0.016611	0.027910
CFRG0125	-	scaffold01	-	604321	615139	439.631622	13.473081	22.637501
CFRG0126	-	scaffold01	+	615490	617136	291.179932	8.923586	14.993430
CFRG0127	-	scaffold01	-	618404	623464	0.507352	0.015548	0.026125
CFRG0128	-	scaffold01	+	625783	631034	489.185059	14.991710	25.189104
CFRG0130	-	scaffold01	-	632298	650194	290.067047	8.891102	14.938848
CFRG0129	-	scaffold01	+	632329	632685	0.068397	0.002096	0.003522
CFRG0131	-	scaffold01	+	651456	657496	2694.642578	82.580818	138.752472
CFRG0132	-	scaffold01	+	659452	665441	617.523621	18.932526	31.810474
CFRG0133	-	scaffold01	-	665614	666123	5730.127441	175.607178	295.055573
CFRG0134	-	scaffold01	+	669492	680207	1056.435303	32.375828	54.397942
CFRG0135	-	scaffold01	-	680140	684393	737.737244	23.330706	39.200302
CFRG0136	-	scaffold01	+	685122	687837	59.276943	1.816619	3.052287
CFRG0137	-	scaffold01	-	687873	689652	349.774902	10.719305	18.010601
CFRG0138	-	scaffold01	-	690228	693434	4405.649414	135.163223	227.101532
CFRG0139	-	scaffold01	+	693817	697743	867.634949	26.589798	44.676235
CFRG0140	-	scaffold01	-	698107	707640	360.758606	11.514625	19.346897
CFRG0141	-	scaffold01	+	707929	708869	236.699402	7.253960	12.188120
CFRG0142	-	scaffold01	+	709360	712299	398.528229	12.213413	20.521006
CFRG0143	-	scaffold01	-	712239	723459	315.556000	9.689638	16.280554
CFRG0144	-	scaffold01	+	724018	726701	467.362823	14.322939	24.065435
CFRG0145	-	scaffold01	-	727007	731185	217.202255	7.056260	11.855944
CFRG0146	-	scaffold01	-	731939	737588	138.855072	4.255394	7.149922
CFRG0147	-	scaffold01	-	737904	740313	1987.507568	60.909744	102.340691
CFRG0148	-	scaffold01	+	740565	746119	34.499035	1.057268	1.776423
CFRG0149	-	scaffold01	-	744192	747067	817.664734	25.058395	42.103172
CFRG0150	-	scaffold01	+	747375	751346	893.020996	27.367785	45.983414
CFRG0151	-	scaffold01	-	751239	755446	433.636688	13.289359	22.328810
CFRG0152	-	scaffold01	-	756276	763924	288.353302	8.836960	14.847881
CFRG0153	-	scaffold01	+	763898	765576	1329.619629	40.747917	68.464737
CFRG0154	-	scaffold01	+	765577	768988	2357.855713	72.259544	121.410652
CFRG0155	-	scaffold01	+	771262	772642	2902.802734	88.960152	149.471039
CFRG0156	-	scaffold01	-	772619	776685	4432.370117	135.835724	228.231491
CFRG0157	-	scaffold01	+	777156	780095	2467.956299	75.633720	127.079941
CFRG0158	-	scaffold01	+	780881	784686	365.726440	11.208160	18.831976
CFRG0159	-	scaffold01	-	783733	788751	1279.427002	39.456120	66.294258
CFRG0160	-	scaffold01	+	789377	792018	2277.345459	69.792198	117.265022
CFRG0161	-	scaffold01	-	792336	799080	480.888550	14.737453	24.761902
CFRG0162	-	scaffold01	-	799694	806601	495.143585	15.174316	25.495922
CFRG0163	-	scaffold01	-	807918	810899	13.946516	0.427409	0.718134
CFRG0164	-	scaffold01	-	811656	814393	2145.554443	65.753296	110.478836
CFRG0165	-	scaffold01	+	814567	817388	616.287781	18.886936	31.733877
CFRG0166	-	scaffold01	+	818367	819680	26.695913	0.818131	1.374625
CFRG0167	-	scaffold01	-	818892	820690	80.095634	2.513685	4.223499
CFRG0168	-	scaffold01	+	821588	823746	2629.111816	80.661888	135.528305
CFRG0169	-	scaffold01	+	824635	832089	1342.936279	41.156025	69.150444
CFRG0170	-	scaffold01	-	832320	836975	703.105957	21.547592	36.204315
CFRG0171	-	scaffold01	-	837643	840750	223.369049	6.845434	11.501714
CFRG0172	-	scaffold01	-	841352	843858	524.676392	16.516891	27.751717
CFRG0173	-	scaffold01	+	844723	847742	500.093750	18.223330	30.618881
CFRG0174	-	scaffold01	-	847851	849845	58.072338	1.779702	2.990259
CFRG0175	-	scaffold01	-	852620	856397	565.893127	17.342527	29.138954
CFRG0176	-	scaffold01	-	857291	861435	555.718567	18.056864	30.339188
CFRG0177	-	scaffold01	-	862043	867540	1268.835083	38.885094	65.334824
CFRG0178	-	scaffold01	+	867811	870574	2044.516846	62.656868	105.276215
CFRG0179	-	scaffold01	-	870496	873383	919.622498	28.183023	47.353180
CFRG0180	-	scaffold01	+	873712	876878	170.075195	5.212174	8.757508
CFRG0181	-	scaffold01	+	878415	881952	59.918911	1.836293	3.085343
CFRG0182	-	scaffold01	-	881929	885146	393.597900	12.062318	20.267132
CFRG0183	-	scaffold01	+	884736	887499	523.388550	16.039921	26.950310
CFRG0184	-	scaffold01	+	888779	891460	5.035794	0.154328	0.259303
CFRG0185	-	scaffold01	-	891848	897204	1203.379395	39.386791	66.177780
CFRG0186	-	scaffold01	+	898792	903363	835.248169	26.079048	43.818077
CFRG0187	-	scaffold01	-	903267	904205	11098.425781	340.125641	571.479858
CFRG0188	-	scaffold01	+	904674	906865	248.477203	7.614906	12.794581
CFRG0189	-	scaffold01	+	907389	909965	3574.554199	109.546844	184.060852
CFRG0190	-	scaffold01	-	909862	912719	260.700165	7.989494	13.423966
CFRG0191	-	scaffold01	+	916206	918689	4477.205566	137.209763	230.540161
CFRG0192	-	scaffold01	+	919493	921784	2741.043457	84.002831	141.141739
CFRG0193	-	scaffold01	-	921637	924702	748.280945	22.932039	38.530464
CFRG0194	-	scaffold01	+	926509	931564	908.795410	27.851212	46.795670
CFRG0195	-	scaffold01	-	932404	934174	1561.553345	47.855827	80.407471
CFRG0196	-	scaffold01	-	937589	941960	560.692810	22.251104	37.386356
CFRG0197	-	scaffold01	+	942229	946759	3395.425049	104.057205	174.837143
CFRG0198	-	scaffold01	+	948558	953577	301.399811	11.300630	18.987343
CFRG0199	-	scaffold01	-	953645	956713	993.191895	30.437653	51.141411
CFRG0200	-	scaffold01	+	956930	965675	917.558533	28.123158	47.252594
CFRG0201	-	scaffold01	-	963487	964865	9.166976	0.289882	0.487060
CFRG0202	-	scaffold01	-	965485	967100	34.056763	1.043714	1.753650
CFRG0203	-	scaffold01	+	966869	968985	2464.413330	75.525139	126.897514
CFRG0204	-	scaffold01	-	968847	972971	224.700836	6.895700	11.586170
CFRG8645	-	scaffold01	+	973521	975788	3339.604980	102.346519	171.962860
CFRG0205	-	scaffold01	-	977440	984937	6.296159	0.192954	0.324202
CFRG0206	-	scaffold01	+	985738	991293	1089.014282	33.380619	56.086193
CFRG0207	-	scaffold01	-	991442	999443	617.216492	20.579483	34.577694
CFRG0208	-	scaffold01	+	999768	1005784	326.028473	10.087146	16.948444
CFRG0209	-	scaffold01	+	1006281	1011954	1033.464478	31.671858	53.215126
CFRG0210_CFRG0211	-	scaffold01	-	1011978	1015536	1.616697	0.049546	0.083247
CFRG0212	-	scaffold01	-	1016616	1020107	523.378601	16.039616	26.949797
CFRG0213	-	scaffold01	+	1020130	1026906	440.083801	13.561913	22.786757
CFRG0214	-	scaffold01	-	1025299	1029529	286.730499	8.787228	14.764319
CFRG0215	-	scaffold01	+	1032320	1049186	478.877441	14.675820	24.658346
CFRG0216	-	scaffold01	+	1049683	1065625	750.732910	23.007183	38.656723
CFRG0217	-	scaffold01	-	1066756	1067511	3572.866211	109.495117	183.973938
CFRG0218	-	scaffold01	-	1067587	1076761	1187.519287	36.393066	61.147713
CFRG0219	-	scaffold01	+	1078887	1088751	604.606018	18.528934	31.132359
CFRG0220	-	scaffold01	-	1088764	1091300	65.178238	1.997472	3.356156
CFRG0221	-	scaffold01	-	1092487	1094040	83.961418	2.573107	4.323339
CFRG0222	-	scaffold01	+	1094540	1098318	458.492401	14.051094	23.608681
CFRG0223	-	scaffold01	+	1099317	1100997	6.054134	0.185537	0.311739
CFRG0224	-	scaffold01	-	1101661	1108671	284.256073	8.711395	14.636907
CFRG0225	-	scaffold01	+	1110363	1115067	1411.713745	43.263798	72.691933
CFRG0226	-	scaffold01	+	1115893	1116975	696.017517	21.330359	35.839317
CFRG0227	-	scaffold01	-	1117944	1119137	288.069916	8.828276	14.833289
CFRG0228	-	scaffold01	+	1119198	1128585	575.536499	17.640419	29.639473
CFRG0229	-	scaffold01	-	1129097	1131339	0.429003	0.013147	0.022090
CFRG0230	-	scaffold01	-	1131637	1135772	121.645828	3.884952	6.527505
CFRG0231	-	scaffold01	-	1136312	1138038	3718.156982	113.947739	191.455246
CFRG0232	-	scaffold01	-	1139370	1140406	482.202820	14.777730	24.829575
CFRG0233	-	scaffold01	-	1140597	1141991	426.403687	13.836143	23.247520
CFRG0234	-	scaffold01	+	1142076	1143517	113.769768	3.486622	5.858230
CFRG0235	-	scaffold01	+	1144602	1149824	337.492767	11.011625	18.501757
CFRG0236	-	scaffold01	+	1150589	1152208	61.208023	1.875799	3.151722
CFRG0237	-	scaffold01	+	1152972	1158587	51.715797	1.584898	2.662948
CFRG0238	-	scaffold01	-	1158031	1160890	709.560547	21.745403	36.536674
CFRG0239	-	scaffold01	+	1161539	1168561	623.588684	19.110683	32.109814
CFRG0240	-	scaffold01	-	1165447	1171367	605.614868	19.131529	32.144836
CFRG0241	-	scaffold01	+	1171698	1175527	1284.746948	39.372734	66.154160
CFRG0242	-	scaffold01	-	1175911	1183467	568.580139	17.424873	29.277315
CFRG0243	-	scaffold01	+	1183472	1186273	223.811905	7.772238	13.058932
CFRG0244	-	scaffold01	+	1189252	1192880	93.517868	2.865976	4.815420
CFRG0245	-	scaffold01	+	1193717	1195371	3740.968994	114.646843	192.629883
CFRG0246	-	scaffold01	-	1195548	1197631	874.466492	26.799160	45.028008
CFRG0247	-	scaffold01	+	1200492	1201912	3.306028	0.101318	0.170234
CFRG0248	-	scaffold01	-	1202657	1215530	1009.946899	31.611130	53.113091
CFRG0249	-	scaffold01	+	1215494	1216804	3721.326660	114.044876	191.618454
CFRG0250	-	scaffold01	-	1216982	1219381	508.333588	15.578542	26.175100
CFRG0251	-	scaffold01	+	1219364	1222258	232.134628	7.966873	13.385959
CFRG0252	-	scaffold01	-	1222266	1224448	73.679367	2.258000	3.793896
CFRG0253	-	scaffold01	+	1225970	1238471	249.169846	7.676614	12.898265
CFRG0254	-	scaffold01	-	1238518	1241770	580.092041	17.777672	29.870085
CFRG0255	-	scaffold01	+	1243162	1248753	569.102966	17.440897	29.304235
CFRG0256	-	scaffold01	-	1248691	1253564	501.034180	16.585268	27.866608
CFRG0257	-	scaffold01	+	1253636	1261983	896.043335	27.460409	46.139042
CFRG0258	-	scaffold01	-	1262057	1263965	1536.002197	47.072777	79.091789
CFRG0259	-	scaffold01	-	1263949	1264602	1668.574219	51.135620	85.918182
CFRG0260	-	scaffold01	+	1265134	1268923	979.001160	38.287796	64.331245
CFRG0261	-	scaffold01	-	1268506	1269940	7516.389648	230.349503	387.033752
CFRG0262	-	scaffold01	+	1271895	1273075	73.202896	2.243397	3.769362
CFRG0263	-	scaffold01	+	1273233	1285848	329.274170	10.091033	16.954977
CFRG0264	-	scaffold01	-	1286945	1289951	756.963013	23.198112	38.977520
CFRG0265	-	scaffold01	+	1289675	1298799	995.778442	30.516920	51.274597
CFRG0266	-	scaffold01	-	1298634	1303547	917.853088	28.128798	47.262070
CFRG0267	-	scaffold01	+	1304123	1311384	448.068787	13.731648	23.071947
CFRG0268	-	scaffold01	-	1312238	1312964	290.295227	8.896473	14.947875
CFRG0269	-	scaffold01	-	1314660	1318315	274.273407	8.405464	14.122880
CFRG0270	-	scaffold01	+	1318702	1326024	367.859528	11.273532	18.941813
CFRG0271	-	scaffold01	+	1326619	1330027	429.797668	13.171706	22.131130
CFRG0272	-	scaffold01	-	1330031	1331928	328.599609	10.070360	16.920244
CFRG0273	-	scaffold01	+	1332229	1333073	3219.266357	98.658592	165.766388
CFRG0274	-	scaffold01	-	1333686	1337775	1125.676025	34.497803	57.963284
CFRG0275	-	scaffold01	+	1338182	1340042	656.508545	20.119555	33.804920
CFRG0276	-	scaffold01	-	1341827	1344546	1779.064331	54.521732	91.607536
CFRG0277	-	scaffold01	+	1346205	1347699	88044.687500	2698.243652	4533.595215
CFRG0278	-	scaffold01	+	1348986	1350733	723.112305	22.160713	37.234482
CFRG0279	-	scaffold01	+	1352255	1354891	41.793327	1.280811	2.152021
CFRG0280	-	scaffold01	+	1356073	1361755	641.490479	19.659307	33.031612
CFRG0281	-	scaffold01	-	1361979	1366560	4800.425781	147.115280	247.183411
CFRG0282	-	scaffold01	+	1368488	1371775	1921.630127	58.904453	98.971390
CFRG0283	-	scaffold01	-	1371837	1388342	424.168762	12.999201	21.841288
CFRG0284	-	scaffold01	-	1388950	1392204	2968.641602	90.977867	152.861221
CFRG0285	-	scaffold01	+	1392606	1395922	403.995361	12.380961	20.802519
CFRG0286	-	scaffold01	+	1396863	1400146	325.626831	9.979256	16.767168
CFRG0287	-	scaffold01	+	1400688	1403236	153.207748	4.695250	7.888969
CFRG0288	-	scaffold01	-	1402060	1405605	825.325317	26.443604	44.430603
CFRG0289	-	scaffold01	+	1407061	1412313	444.088135	13.609656	22.866976
CFRG0290	-	scaffold01	-	1412489	1423630	461.050446	14.129488	23.740396
CFRG0291	-	scaffold01	-	1424843	1427611	1241.367432	38.043312	63.920460
CFRG0292	-	scaffold01	+	1428432	1429785	677.819580	20.772659	34.902267
CFRG0293	-	scaffold01	-	1429900	1432560	2503.957764	76.737030	128.933731
CFRG0294	-	scaffold01	+	1432906	1434746	480.416656	16.511179	27.742119
CFRG0295	-	scaffold01	+	1435707	1441148	660.259644	20.234512	33.998074
CFRG0296	-	scaffold01	+	1441974	1443405	417.934448	12.808143	21.520271
CFRG0297	-	scaffold01	+	1444276	1448981	1.463658	0.044856	0.075367
CFRG0298	-	scaffold01	-	1448164	1454844	624.956116	19.680887	33.067871
CFRG0299	-	scaffold01	+	1455210	1463250	503.758484	15.438332	25.939520
CFRG0300	-	scaffold01	-	1463437	1475568	461.146545	14.132434	23.745348
CFRG0301	-	scaffold01	+	1476439	1481173	3780.350342	115.853737	194.657715
CFRG0302	-	scaffold01	-	1481494	1484628	843.956421	25.864138	43.456982
CFRG0303	-	scaffold01	+	1485754	1489797	867.087097	26.573008	44.648029
CFRG0304	-	scaffold01	-	1489479	1495975	738.674622	23.928410	40.204567
CFRG0305	-	scaffold01	+	1496982	1501460	59.809441	1.832938	3.079706
CFRG0306	-	scaffold01	-	1501557	1503619	438.295898	13.432145	22.568722
CFRG0307	-	scaffold01	+	1504051	1510227	668.523743	20.487776	34.423607
CFRG0308	-	scaffold01	-	1511029	1524359	370.243469	11.346591	19.064568
CFRG0309	-	scaffold01	-	1525678	1528179	935.782593	28.678270	48.185295
CFRG0310	-	scaffold01	+	1529040	1531745	971.853088	29.783697	50.042637
CFRG0311	-	scaffold01	+	1533094	1536220	596.679810	18.286026	30.724222
CFRG0312	-	scaffold01	-	1536233	1554464	556.058411	17.041130	28.632547
CFRG0313	-	scaffold01	+	1555685	1562424	1511.308838	46.316017	77.820274
CFRG0314	-	scaffold01	+	1564023	1566055	2908.775146	89.143188	149.778580
CFRG0315	-	scaffold01	-	1566366	1571497	470.112152	14.407196	24.207005
CFRG0316	-	scaffold01	-	1573060	1575458	620.201172	19.006868	31.935383
CFRG0317	-	scaffold01	+	1575629	1582552	963.327209	29.522411	49.603622
CFRG0318	-	scaffold01	+	1583089	1587129	440.146515	13.488860	22.664015
CFRG0319	-	scaffold01	+	1588566	1589282	681.693176	20.891369	35.101730
CFRG0320	-	scaffold01	-	1589849	1591957	1526.133667	46.770344	78.583633
CFRG0321	-	scaffold01	+	1592054	1597085	359.642761	11.137172	18.712704
CFRG0322	-	scaffold01	-	1596416	1598966	807.505920	26.212284	44.041943
CFRG0323	-	scaffold01	+	1599167	1606081	592.413513	18.155279	30.504541
CFRG0324	-	scaffold01	-	1605684	1607247	227.874176	6.983500	11.733691
CFRG0325	-	scaffold01	+	1608815	1610586	12119.619141	371.421417	624.063171
CFRG0326	-	scaffold01	+	1614574	1616088	45.502972	1.394498	2.343038
CFRG0327	-	scaffold01	-	1616119	1618641	278.657166	8.539810	14.348607
CFRG0328	-	scaffold01	+	1619162	1621368	718.334839	22.014301	36.988480
CFRG0329	-	scaffold01	+	1622133	1628182	1082.865723	33.185825	55.758892
CFRG0330	-	scaffold01	-	1629807	1636287	238.798157	7.318279	12.296189
CFRG0331	-	scaffold01	-	1637052	1643101	1061.163574	32.552814	54.695312
CFRG0332	-	scaffold01	+	1643675	1646535	848.952820	26.017260	43.714260
CFRG0333	-	scaffold01	-	1647918	1650398	1006.406006	32.346081	54.347958
CFRG0334	-	scaffold01	+	1650763	1654843	2816.478516	88.810661	149.219879
CFRG0335	-	scaffold01	+	1655378	1663075	358.180389	11.283289	18.958208
CFRG0336	-	scaffold01	-	1663422	1668820	1179.059204	36.144825	60.730614
CFRG0337	-	scaffold01	-	1669105	1671676	396.131409	12.139960	20.397589
CFRG0338	-	scaffold01	+	1671828	1674689	605.976562	19.022459	31.961578
CFRG0339	-	scaffold01	-	1674412	1675173	1856.788574	56.903694	95.609711
CFRG0340	-	scaffold01	+	1677599	1681359	221.669403	7.322987	12.304099
CFRG0341	-	scaffold01	-	1681753	1686794	1502.881836	46.060955	77.391724
