Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
OT_ostta01g00010	-	NC_014426.2	-	244	1932	0.539964	0.519419	0.642392
OT_ostta01g00020	-	NC_014426.2	+	2077	4029	9.786994	9.414618	11.643524
OT_ostta01g00030	-	NC_014426.2	+	4157	5299	3.559055	3.423640	4.234185
OT_ostta01g00040	-	NC_014426.2	-	5392	7041	40.976971	39.417877	48.750038
OT_ostta01g00050	-	NC_014426.2	-	7386	9605	22.438286	21.584553	26.694685
OT_ostta01g00060	-	NC_014426.2	-	9780	10412	198.150070	190.610840	235.737854
OT_ostta01g00070	-	NC_014426.2	+	11358	12455	91.068306	87.603340	108.343376
OT_ostta01g00080	-	NC_014426.2	-	12585	12848	0.000000	0.000000	0.000000
OT_ostta01g00090	-	NC_014426.2	+	13009	15890	14.627287	14.070747	17.401989
OT_ostta01g00100	-	NC_014426.2	+	16094	20050	33.884510	32.595272	40.312187
OT_ostta01g00110	-	NC_014426.2	-	20110	20694	6.905983	6.643224	8.216003
OT_ostta01g00120	-	NC_014426.2	+	21003	22493	103.977196	100.021072	123.700996
OT_ostta01g00130	-	NC_014426.2	-	22562	23929	79.722221	76.688942	94.845016
OT_ostta01g00140	-	NC_014426.2	+	24244	25262	217.505188	209.229538	258.764526
OT_ostta01g00150	-	NC_014426.2	-	25340	26524	25.630381	24.655195	30.492298
OT_ostta01g00160	-	NC_014426.2	-	26590	28893	6.101562	5.869410	7.258989
OT_ostta01g00170	-	NC_014426.2	+	29306	30093	27.760374	26.704145	33.026337
OT_ostta01g00180	-	NC_014426.2	+	30248	30493	136.540649	131.345551	162.441544
OT_ostta01g00190	-	NC_014426.2	-	30650	33039	426.457397	410.231537	507.353638
OT_ostta01g00200	-	NC_014426.2	+	33223	34098	21.507992	20.689655	25.587919
OT_ostta01g00210	-	NC_014426.2	-	34173	34653	45.701588	43.962730	54.370884
OT_ostta01g00220	-	NC_014426.2	+	34778	35476	36.002861	34.633022	42.832371
OT_ostta01g00230	-	NC_014426.2	-	35519	36202	10.422515	10.025958	12.399599
OT_ostta01g00240	-	NC_014426.2	-	36541	38037	1.778891	1.711208	2.116335
OT_ostta01g00250	-	NC_014426.2	+	38212	39087	1.464612	1.408886	1.742440
OT_ostta01g00270	-	NC_014426.2	+	41797	42285	51.394680	49.439213	61.143921
OT_ostta01g00280	-	NC_014426.2	-	42330	43987	77.511108	74.561958	92.214470
OT_ostta01g00290	-	NC_014426.2	-	44204	44380	91.762718	88.271332	109.169518
OT_ostta01g00300	-	NC_014426.2	+	44619	45203	38.329914	36.871536	45.600853
OT_ostta01g00310	-	NC_014426.2	-	45237	46697	10.149898	9.763714	12.075268
OT_ostta01g00320	-	NC_014426.2	-	46754	49186	14.292232	13.748440	17.003376
OT_ostta01g00330	-	NC_014426.2	-	49314	50465	5.506076	5.296580	6.550543
OT_ostta01g00340	-	NC_014426.2	+	50930	51955	0.302144	0.290648	0.359459
OT_ostta01g00350	-	NC_014426.2	+	52198	53061	5.785880	5.565739	6.883424
OT_ostta01g00360	-	NC_014426.2	-	53097	54644	53.965763	51.912472	64.202721
OT_ostta01g00370	-	NC_014426.2	-	54791	55323	100.285286	96.469627	119.308762
OT_ostta01g00380	-	NC_014426.2	+	56147	58519	2.886562	2.776734	3.434124
OT_ostta01g00390	-	NC_014426.2	+	58613	59677	2.314554	2.226490	2.753610
OT_ostta01g00400	-	NC_014426.2	+	59862	61573	34.474201	33.162525	41.013733
OT_ostta01g00410	-	NC_014426.2	-	61621	62139	21.610790	20.788542	25.710218
OT_ostta01g00420	-	NC_014426.2	+	62244	63200	44.149426	42.469624	52.524284
OT_ostta01g00430	-	NC_014426.2	+	63321	63824	9.478174	9.117549	11.276122
OT_ostta01g00440	-	NC_014426.2	+	64372	66000	18.207489	17.514729	21.661333
OT_ostta01g00450	-	NC_014426.2	-	66025	66966	2.627388	2.527421	3.125787
OT_ostta01g00460	-	NC_014426.2	-	67025	70891	4.348849	4.183383	5.173798
OT_ostta01g00470	-	NC_014426.2	+	70936	71700	1.294118	1.244879	1.539604
OT_ostta01g00480	-	NC_014426.2	+	71798	72949	31.888889	30.675581	37.938007
OT_ostta01g00485	-	NC_014426.2	+	73683	74705	786.681335	756.749695	935.909729
OT_ostta01g00490	-	NC_014426.2	-	74926	75640	94.073647	90.494324	111.918816
OT_ostta01g00500	-	NC_014426.2	+	75939	77687	326.847900	314.411957	388.848846
OT_ostta01g00510	-	NC_014426.2	+	77872	79971	117.873337	113.388489	140.233154
OT_ostta01g00520	-	NC_014426.2	-	80134	82047	78.249214	75.271988	93.092590
OT_ostta01g00530	-	NC_014426.2	+	82212	82685	46.402954	44.637413	55.205299
OT_ostta01g00540	-	NC_014426.2	-	82873	84003	22.159151	21.316038	26.362600
OT_ostta01g00550	-	NC_014426.2	+	84224	84946	77.103737	74.170090	91.729820
OT_ostta01g00560	-	NC_014426.2	+	85050	85577	21.690218	20.864948	25.804712
OT_ostta01g00570	-	NC_014426.2	-	85712	87122	126.116150	121.317680	150.039566
OT_ostta01g00580	-	NC_014426.2	-	87212	88741	27.873856	26.813311	33.161346
OT_ostta01g00590	-	NC_014426.2	+	88768	89934	58.160240	55.947357	69.192863
OT_ostta01g00600	-	NC_014426.2	-	90016	90726	10.562588	10.160702	12.566243
OT_ostta01g00610	-	NC_014426.2	+	90815	91814	3.092531	2.974866	3.679164
OT_ostta01g00620	-	NC_014426.2	-	91879	94590	1.153392	1.109508	1.372183
OT_ostta01g00630	-	NC_014426.2	+	94920	96557	0.881563	0.848021	1.048790
OT_ostta01g00640	-	NC_014426.2	-	96592	97002	11.094891	10.672751	13.199520
OT_ostta01g00650	-	NC_014426.2	-	97316	99487	18.482044	17.778839	21.987968
OT_ostta01g00660	-	NC_014426.2	-	99641	100810	49.729488	47.837376	59.162853
OT_ostta01g00670	-	NC_014426.2	+	100832	101419	31.818027	30.607414	37.853703
OT_ostta01g00680	-	NC_014426.2	-	101513	102394	38.735828	37.262005	46.083767
OT_ostta01g00690	-	NC_014426.2	+	102763	103668	32.801323	31.553297	39.023521
OT_ostta01g00720	-	NC_014426.2	-	105008	107362	412.200012	396.516602	490.391693
OT_ostta01g00730	-	NC_014426.2	+	108154	109832	18.988443	18.265970	22.590429
OT_ostta01g00740	-	NC_014426.2	+	109952	111664	5.669586	5.453870	6.745070
OT_ostta01g00750	-	NC_014426.2	-	111707	113377	0.762418	0.733409	0.907044
OT_ostta01g00760	-	NC_014426.2	+	113457	114842	13.031025	12.535220	15.502927
OT_ostta01g00770	-	NC_014426.2	+	114894	115601	15.795197	15.194221	18.791445
OT_ostta01g00780	-	NC_014426.2	+	115769	117304	11.348958	10.917152	13.501782
OT_ostta01g00790	-	NC_014426.2	-	117359	118508	31.523043	30.323654	37.502762
OT_ostta01g00800	-	NC_014426.2	+	118529	119769	5.497985	5.288797	6.540917
OT_ostta01g00810	-	NC_014426.2	-	119827	121488	165.032486	158.753326	196.338074
OT_ostta01g00820	-	NC_014426.2	+	121857	128710	36.753937	35.355522	43.725922
OT_ostta01g00830	-	NC_014426.2	-	128921	129758	755.426453	726.683960	898.725952
OT_ostta01g00850	-	NC_014426.2	+	130650	131342	0.539683	0.519149	0.642057
OT_ostta01g00860	-	NC_014426.2	-	131423	132259	184.234177	177.224426	219.182205
OT_ostta01g00870	-	NC_014426.2	+	132481	133087	1.877193	1.805769	2.233284
OT_ostta01g00880	-	NC_014426.2	-	133114	134001	35.063065	33.728981	41.714302
OT_ostta01g00890	-	NC_014426.2	+	135375	138884	1239.939575	1192.762329	1475.148193
OT_ostta01g00910	-	NC_014426.2	-	139011	139438	39.260513	37.766727	46.707977
OT_ostta01g00920	-	NC_014426.2	+	139521	140305	42.769287	41.141998	50.882347
OT_ostta01g00930	-	NC_014426.2	+	140403	142061	2.330922	2.242235	2.773083
OT_ostta01g00940	-	NC_014426.2	-	142114	144696	58.483932	56.258736	69.577957
OT_ostta01g00950	-	NC_014426.2	+	144992	146641	151.866669	146.088440	180.674805
OT_ostta01g00960	-	NC_014426.2	-	146736	147239	0.545635	0.524875	0.649138
OT_ostta01g00970	-	NC_014426.2	-	147536	149239	1.461854	1.406233	1.739158
OT_ostta01g00980	-	NC_014426.2	-	149384	151843	74.604065	71.765533	88.755974
OT_ostta01g00990	-	NC_014426.2	-	152191	152772	20.390034	19.614233	24.257893
OT_ostta01g01000	-	NC_014426.2	-	152960	154822	0.420290	0.404299	0.500016
OT_ostta01g01020	-	NC_014426.2	+	155300	155716	1623.299805	1561.536499	1931.229370
OT_ostta01g01030	-	NC_014426.2	-	155881	157464	182.518936	175.574448	217.141617
OT_ostta01g01040	-	NC_014426.2	+	157696	158310	256.925201	247.149704	305.662262
OT_ostta01g01050	-	NC_014426.2	-	158380	159390	7.308605	7.030527	8.695001
OT_ostta01g01060	-	NC_014426.2	+	159566	161083	15.907773	15.302514	18.925375
OT_ostta01g01070	-	NC_014426.2	-	161496	162326	1.817088	1.747951	2.161778
OT_ostta01g01080	-	NC_014426.2	-	162382	163222	8.911924	8.572843	10.602459
OT_ostta01g01085	-	NC_014426.2	-	163356	164054	51.705292	49.738007	61.513454
OT_ostta01g01090	-	NC_014426.2	-	164155	165039	3.742373	3.599983	4.452277
OT_ostta01g01100	-	NC_014426.2	+	165406	167133	66.839699	64.296577	79.518761
OT_ostta01g01110	-	NC_014426.2	-	167162	169540	54.288780	52.223198	64.587013
OT_ostta01g01120	-	NC_014426.2	+	169940	170812	161.372284	155.232391	191.983566
OT_ostta01g01130	-	NC_014426.2	-	170931	171908	1.745399	1.678990	2.076490
OT_ostta01g01140	-	NC_014426.2	+	171962	172477	5.296512	5.094990	6.301226
OT_ostta01g01150	-	NC_014426.2	-	172598	174028	7.939902	7.637804	9.446051
OT_ostta01g01160	-	NC_014426.2	+	174153	175529	6.045752	5.815723	7.192592
OT_ostta01g01170	-	NC_014426.2	-	175660	176537	8.843621	8.507139	10.521199
OT_ostta01g01180	-	NC_014426.2	+	176701	177884	22.908497	22.036873	27.254089
OT_ostta01g01190	-	NC_014426.2	-	177957	178247	0.450172	0.433044	0.535567
OT_ostta01g01200	-	NC_014426.2	+	178286	178847	150.686752	144.953415	179.271057
OT_ostta01g01210	-	NC_014426.2	-	178975	179581	36.241310	34.862400	43.116055
OT_ostta01g01220	-	NC_014426.2	+	182192	184129	271.126404	260.810577	322.557343
OT_ostta01g01230	-	NC_014426.2	-	184250	185428	31.326548	30.134634	37.268993
OT_ostta01g01250	-	NC_014426.2	-	185988	186605	3.841424	3.695265	4.570117
OT_ostta01g01260	-	NC_014426.2	+	186688	187740	5.626362	5.412290	6.693646
OT_ostta01g01270	-	NC_014426.2	-	187820	191934	3.204718	3.082785	3.812632
OT_ostta01g01280	-	NC_014426.2	+	192033	192449	18.649879	17.940287	22.187643
OT_ostta01g01290	-	NC_014426.2	+	192826	193755	558.422607	537.175720	664.351746
OT_ostta01g01295	-	NC_014426.2	-	193905	194333	59.249416	56.995094	70.488647
OT_ostta01g01300	-	NC_014426.2	-	194449	197277	54.588192	52.511215	64.943222
OT_ostta01g01310	-	NC_014426.2	+	197334	199433	5.601429	5.388306	6.663984
OT_ostta01g01320	-	NC_014426.2	-	199523	200728	97.149254	93.452919	115.577843
OT_ostta01g01330	-	NC_014426.2	-	200850	201963	86.057449	82.783134	102.381989
OT_ostta01g01340	-	NC_014426.2	+	202372	207174	0.041641	0.040057	0.049540
OT_ostta01g01350	-	NC_014426.2	+	207552	210395	0.412799	0.397093	0.491104
OT_ostta01g01370	-	NC_014426.2	-	210403	213213	0.172892	0.166314	0.205688
OT_ostta01g01380	-	NC_014426.2	+	213419	214864	3.256570	3.132664	3.874320
OT_ostta01g01390	-	NC_014426.2	+	215038	216333	0.074074	0.071256	0.088125
OT_ostta01g01400	-	NC_014426.2	+	216544	217092	13.085610	12.587729	15.567866
OT_ostta01g01410	-	NC_014426.2	-	217164	218444	45.700233	43.961430	54.369270
OT_ostta01g01420	-	NC_014426.2	+	218613	219989	107.232391	103.152412	127.573685
OT_ostta01g01430	-	NC_014426.2	-	220121	220660	14.755555	14.194136	17.554588
OT_ostta01g01440	-	NC_014426.2	-	220812	222917	51.456791	49.498959	61.217815
OT_ostta01g01450	-	NC_014426.2	+	223517	225079	27.302624	26.263811	32.481754
OT_ostta01g01460	-	NC_014426.2	-	225192	227378	24.451303	23.520979	29.089560
OT_ostta01g01470	-	NC_014426.2	+	227509	228099	30.473774	29.314306	36.254452
OT_ostta01g01480	-	NC_014426.2	-	228175	229899	48.105507	46.275188	57.230812
OT_ostta01g01490	-	NC_014426.2	-	230002	232105	30.281776	29.129616	36.026035
OT_ostta01g01500	-	NC_014426.2	-	232274	234111	624.714783	600.945618	743.219116
OT_ostta01g01510	-	NC_014426.2	+	234834	235574	125.904182	121.113777	149.787399
OT_ostta01g01520	-	NC_014426.2	-	235714	236250	17.627560	16.956865	20.971395
OT_ostta01g01530	-	NC_014426.2	+	236368	240984	10.980940	10.563136	13.063953
OT_ostta01g01540	-	NC_014426.2	-	241024	241683	66.043938	63.531094	78.572044
OT_ostta01g01550	-	NC_014426.2	+	242023	243027	191.216919	183.941498	227.489532
OT_ostta01g01560	-	NC_014426.2	-	243316	245161	1006.547363	968.250244	1197.482910
OT_ostta01g01570	-	NC_014426.2	+	245528	246598	112.408028	108.131119	133.731110
OT_ostta01g01580	-	NC_014426.2	-	246644	247756	27.169155	26.135422	32.322971
OT_ostta01g01590	-	NC_014426.2	-	247874	248815	158.003189	151.991470	187.975372
OT_ostta01g01600	-	NC_014426.2	-	249358	251400	102.287811	98.395958	121.691147
OT_ostta01g01610	-	NC_014426.2	+	251929	254225	8.217206	7.904557	9.775957
OT_ostta01g01620	-	NC_014426.2	-	254284	254446	0.000000	0.000000	0.000000
OT_ostta01g01630	-	NC_014426.2	+	254566	255360	7.122013	6.851035	8.473013
OT_ostta01g01640	-	NC_014426.2	-	255406	256155	0.790667	0.760584	0.940651
OT_ostta01g01650	-	NC_014426.2	+	256261	257847	5.928166	5.702611	7.052701
OT_ostta01g01660	-	NC_014426.2	-	258531	259472	1.287686	1.238692	1.531952
OT_ostta01g01670	-	NC_014426.2	+	260079	260487	106.574471	102.519524	126.790962
OT_ostta01g01680	-	NC_014426.2	-	260551	261756	6.819237	6.559779	8.112803
OT_ostta01g01690	-	NC_014426.2	+	261794	262492	32.974251	31.719645	39.229252
OT_ostta01g01700	-	NC_014426.2	-	262672	263880	46.570721	44.798798	55.404884
OT_ostta01g01710	-	NC_014426.2	+	263960	265756	30.610462	29.445795	36.417068
OT_ostta01g01720	-	NC_014426.2	+	265946	269838	32.547398	31.309032	38.721428
OT_ostta01g01740	-	NC_014426.2	+	270721	271821	0.702089	0.675376	0.835271
OT_ostta01g01750	-	NC_014426.2	-	271860	273623	5.812358	5.591209	6.914925
OT_ostta01g01760	-	NC_014426.2	+	274050	274394	8.113044	7.804358	9.652036
OT_ostta01g01770	-	NC_014426.2	+	274630	275490	18.303137	17.606739	21.775124
OT_ostta01g01780	-	NC_014426.2	-	275562	278363	21.374733	20.561466	25.429380
OT_ostta01g01790	-	NC_014426.2	+	278432	279790	69.498169	66.853897	82.681526
OT_ostta01g01800	-	NC_014426.2	-	279859	280349	197.336182	189.827927	234.769577
OT_ostta01g01810	-	NC_014426.2	+	280663	283231	48.770885	46.915249	58.022408
OT_ostta01g01820	-	NC_014426.2	-	283291	284247	69.309303	66.672218	82.456833
OT_ostta01g01830	-	NC_014426.2	+	284484	289766	48.753002	46.898045	58.001133
OT_ostta01g01850	-	NC_014426.2	+	289887	291488	28.461298	27.378401	33.860222
OT_ostta01g01855	-	NC_014426.2	+	291571	293022	10.561295	10.159458	12.564705
OT_ostta01g01860	-	NC_014426.2	+	293132	294745	14.408302	13.860095	17.141464
OT_ostta01g01870	-	NC_014426.2	-	294781	295446	11.000000	10.581472	13.086629
OT_ostta01g01880	-	NC_014426.2	-	295536	296321	6.072519	5.841471	7.224437
OT_ostta01g01890	-	NC_014426.2	-	296421	298508	42.553162	40.934093	50.625221
OT_ostta01g01900	-	NC_014426.2	+	298806	299498	11.427128	10.992349	13.594781
OT_ostta01g01910	-	NC_014426.2	-	299642	299890	8.036144	7.730385	9.560550
OT_ostta01g01920	-	NC_014426.2	-	299983	301821	15.700925	15.103535	18.679289
OT_ostta01g01930	-	NC_014426.2	-	301964	303034	20.461250	19.682739	24.342617
OT_ostta01g01940	-	NC_014426.2	+	303784	304755	89.227364	85.832436	106.153214
OT_ostta01g01950	-	NC_014426.2	-	304864	305928	1.097653	1.055889	1.305871
OT_ostta01g01960	-	NC_014426.2	+	306336	307733	0.998569	0.960575	1.187991
OT_ostta01g01970	-	NC_014426.2	+	308430	308858	8.179487	7.868274	9.731083
OT_ostta01g01980	-	NC_014426.2	-	309245	310762	269.429718	259.178436	320.538818
OT_ostta01g01990	-	NC_014426.2	+	310973	312142	7.433333	7.150509	8.843389
OT_ostta01g02000	-	NC_014426.2	+	312307	313305	9.670671	9.302721	11.505135
OT_ostta01g02010	-	NC_014426.2	+	313682	314923	0.229469	0.220738	0.272998
OT_ostta01g02020	-	NC_014426.2	-	314990	316810	46.848434	45.065945	55.735283
OT_ostta01g02030	-	NC_014426.2	+	316939	317375	17.834223	17.155666	21.217258
OT_ostta01g02040	-	NC_014426.2	+	317625	318394	32.587662	31.347765	38.769333
OT_ostta01g02050	-	NC_014426.2	+	318441	319628	3.277778	3.153065	3.899551
OT_ostta01g02060	-	NC_014426.2	-	319721	320329	61.755348	59.405678	73.469940
OT_ostta01g02070	-	NC_014426.2	+	320501	321520	27.024725	25.996487	32.151138
OT_ostta01g02080	-	NC_014426.2	+	321798	322511	198.746506	191.184586	236.447449
OT_ostta01g02090	-	NC_014426.2	-	322594	323454	7.415796	7.133639	8.822525
OT_ostta01g02100	-	NC_014426.2	+	323619	324758	7.751754	7.456815	9.222212
OT_ostta01g02110	-	NC_014426.2	+	324904	326274	10.332604	9.939469	12.292632
OT_ostta01g02120	-	NC_014426.2	+	326521	327549	6.972789	6.707488	8.295482
OT_ostta01g02130	-	NC_014426.2	+	327723	328661	1.445154	1.390169	1.719290
