Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AWHISG00000000006	-	P_RNA_scaffold_1	-	2540	5077	3.085106	0.202055	0.197961
AWHISG00000000007	-	P_RNA_scaffold_1	-	5116	6428	3.140097	0.205657	0.201490
AWHISG00000000008	-	P_RNA_scaffold_1	-	21894	24372	322.352570	21.112091	20.684343
AWHISG00000000009	-	P_RNA_scaffold_1	-	28833	34593	75.478920	4.943400	4.843243
AWHISG00000000010	-	P_RNA_scaffold_1	-	38870	60203	118.722076	7.775558	7.618020
AWHISG00000000011	-	P_RNA_scaffold_1	+	60852	69896	483.528839	31.668135	31.026512
AWHISG00000000012	-	P_RNA_scaffold_1	-	75073	75402	41.251514	2.701718	2.646979
AWHISG00000000014	-	P_RNA_scaffold_1	-	89473	93686	374.951843	24.557014	24.059471
AWHISG00000000015	-	P_RNA_scaffold_1	-	102158	134276	12.528447	0.820535	0.803911
AWHISG00000000016	-	P_RNA_scaffold_1	-	136732	161092	143.550903	9.401692	9.211205
AWHISG00000000017	-	P_RNA_scaffold_1	+	164669	169347	811.822388	53.169323	52.092068
AWHISG00000000018	-	P_RNA_scaffold_1	-	169398	169958	3.600713	0.235824	0.231046
AWHISG00000000019	-	P_RNA_scaffold_1	-	174100	175857	9.375996	0.614069	0.601628
AWHISG00000000020	-	P_RNA_scaffold_1	-	179320	191887	356.926636	23.376476	22.902849
AWHISG00000000021	-	P_RNA_scaffold_1	+	195342	210954	364.862885	23.896252	23.412094
AWHISG00000000022	-	P_RNA_scaffold_1	-	213265	216575	432.531219	28.328106	27.754158
AWHISG00000000023	-	P_RNA_scaffold_1	+	224804	225568	6.949019	0.455118	0.445897
AWHISG00000000024	-	P_RNA_scaffold_1	-	251701	254900	8.367627	0.548028	0.536924
AWHISG00000000025	-	P_RNA_scaffold_1	+	263660	268646	1105.555542	72.407013	70.939995
AWHISG00000000026	-	P_RNA_scaffold_1	+	271576	290620	91.427818	5.987954	5.866633
AWHISG00000000028	-	P_RNA_scaffold_1	+	299961	322604	63.649586	4.168653	4.084192
AWHISG00000000029	-	P_RNA_scaffold_1	+	328407	339770	266.647888	17.524866	17.169798
AWHISG00000000030	-	P_RNA_scaffold_1	+	344261	346306	2.811339	0.184125	0.180395
AWHISG00000000031	-	P_RNA_scaffold_1	-	346347	346950	5.520958	0.361588	0.354262
AWHISG00000000032	-	P_RNA_scaffold_1	+	347144	348001	2.764569	0.181062	0.177394
AWHISG00000000033	-	P_RNA_scaffold_1	-	353138	380027	294.218933	19.548864	19.152788
AWHISG00000000034	-	P_RNA_scaffold_1	+	383576	400953	12.635778	0.827565	0.810798
AWHISG00000000035	-	P_RNA_scaffold_1	-	402138	426887	13.119234	0.859228	0.841820
AWHISG00000000036	-	P_RNA_scaffold_1	+	432551	436895	0.000000	0.000000	0.000000
AWHISG00000000037	-	P_RNA_scaffold_1	+	444548	446609	2196.453613	143.854065	140.939468
AWHISG00000000038	-	P_RNA_scaffold_1	+	448420	488217	144.112656	9.438483	9.247252
AWHISG00000000039	-	P_RNA_scaffold_1	-	490300	503239	42.040073	2.753364	2.697578
