Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
TVAGG3_0408050	-	NC_067207.1	+	26601074	26601442	21736.117188	8944.928711	9694.576172
TVAGG3_1048680	-	NC_067203.1	+	25451706	25453187	16080.186523	6617.378906	7171.961426
TVAGG3_0531630	-	NC_067204.1	+	12242637	12243767	12819.973633	5275.724121	5717.866699
TVAGG3_0303510	-	NC_067207.1	-	8986098	8987183	12265.627930	5047.597168	5470.621094
TVAGG3_0362140	-	NC_067207.1	-	18859329	18860414	11677.022461	4805.372070	5208.095703
TVAGG3_0319060	-	NC_067207.1	-	11624984	11625409	11437.483398	4706.796387	5101.258301
TVAGG3_0978890	-	NC_067203.1	+	13169243	13170373	10527.208008	4332.196289	4695.264648
TVAGG3_0613510	-	NC_067205.1	-	322922	324007	10393.878906	4277.328125	4635.797852
TVAGG3_0979910	-	NC_067203.1	+	13379198	13380901	10349.943359	4259.247559	4616.202637
TVAGG3_0476390	-	NC_067204.1	+	3079854	3080159	10136.228516	4171.298828	4520.883301
TVAGG3_0280800	-	NC_067207.1	-	5023082	5023672	9495.269531	3907.529297	4235.007324
TVAGG3_0657380	-	NC_067205.1	-	7223383	7224312	9222.007812	3795.075439	4113.129395
TVAGG3_0259350	-	NC_067207.1	-	1145777	1146907	8571.372070	3527.323486	3822.937744
TVAGG3_1048880	-	NC_067203.1	+	25497937	25499250	8126.835449	3344.385986	3624.668701
TVAGG3_0652610	-	NC_067205.1	-	6428222	6429445	7768.815430	3197.052002	3464.987549
TVAGG3_0187820	-	NC_067206.1	+	28997741	28998871	7362.498047	3029.843018	3283.764893
TVAGG3_0879290	-	NC_067208.1	-	16888060	16889058	7321.857422	3013.118408	3265.638672
TVAGG3_0114930	-	NC_067206.1	+	17599691	17600059	7095.512207	2919.972168	3164.685791
TVAGG3_0957560	-	NC_067203.1	-	9393388	9394518	6881.979004	2832.097900	3069.447510
TVAGG3_0079960	-	NC_067206.1	-	12750351	12751664	6871.231445	2827.675049	3064.654053
TVAGG3_0828290	-	NC_067208.1	+	8396987	8398789	6649.188477	2736.299316	2965.620117
TVAGG3_0471370	-	NC_067204.1	-	2298958	2300043	6469.539551	2662.369141	2885.494385
TVAGG3_0355660	-	NC_067207.1	-	17698336	17699322	6162.649414	2536.076660	2748.617676
TVAGG3_0966980	-	NC_067203.1	-	11048791	11050494	6119.055664	2518.136719	2729.174316
TVAGG3_0445620	-	NC_067207.1	-	32772319	32772657	6116.988281	2517.286133	2728.252197
TVAGG3_0165920	-	NC_067206.1	-	25333459	25333884	6087.537598	2505.166504	2715.116943
TVAGG3_0730100	-	NC_067205.1	-	19343278	19344408	6083.189453	2503.376953	2713.177490
TVAGG3_0754280	-	NC_067205.1	-	24055670	24056800	6052.187012	2490.618896	2699.350098
TVAGG3_0047860	-	NC_067206.1	+	7549168	7549782	5953.522949	2450.016357	2655.344727
TVAGG3_0358190	-	NC_067207.1	+	18146211	18147296	5914.723145	2434.049072	2638.039551
TVAGG3_0865420	-	NC_067208.1	-	14594387	14595517	5901.793945	2428.728516	2632.272705
TVAGG3_0059890	-	NC_067206.1	+	9592706	9593704	5829.228516	2398.866211	2599.907715
TVAGG3_0013790	-	NC_067206.1	+	2280108	2281367	5826.534180	2397.757324	2598.706299
TVAGG3_0987120	-	NC_067203.1	+	14690419	14691732	5792.511719	2383.756104	2583.531494
TVAGG3_0548570	-	NC_067204.1	+	15159522	15162137	5777.002441	2377.373779	2576.614258
TVAGG3_0045960	-	NC_067206.1	-	7176595	7178397	5690.853027	2341.921387	2538.190674
TVAGG3_0238140	-	NC_067206.1	+	37388727	37389128	5605.044922	2306.609375	2499.919189
TVAGG3_0335370	-	NC_067207.1	+	14413653	14414408	5603.332031	2305.904297	2499.155273
TVAGG3_0375060	-	NC_067207.1	-	20951642	20952772	5595.746094	2302.782715	2495.771973
TVAGG3_0815950	-	NC_067208.1	+	6396908	6397666	5432.662598	2235.669922	2423.034424
TVAGG3_0047450	-	NC_067206.1	-	7452795	7453118	5377.018555	2212.770996	2398.216553
TVAGG3_0470960	-	NC_067204.1	-	2236578	2237675	5337.878906	2196.664062	2380.760010
TVAGG3_0100860	-	NC_067206.1	+	15670649	15671635	5182.102051	2132.558105	2311.281494
TVAGG3_0595520	-	NC_067204.1	+	23235787	23236182	5153.613770	2120.834473	2298.575439
TVAGG3_0552470	-	NC_067204.1	-	15908439	15908717	5096.638184	2097.387695	2273.163330
TVAGG3_0538280	-	NC_067204.1	+	13302370	13302717	4936.712402	2031.574585	2201.834473
TVAGG3_0728360	-	NC_067205.1	-	19027339	19028412	4851.245605	1996.402954	2163.715332
TVAGG3_0483440	-	NC_067204.1	-	4161238	4161666	4837.202637	1990.623901	2157.451904
TVAGG3_0080890	-	NC_067206.1	-	12905734	12906864	4813.520996	1980.878418	2146.889648
TVAGG3_0917400	-	NC_067203.1	+	2813172	2814302	4809.681641	1979.298340	2145.177246
TVAGG3_0865190	-	NC_067208.1	-	14545619	14547421	4771.868652	1963.737305	2128.312256
TVAGG3_0187830	-	NC_067206.1	-	29000224	29000793	4721.880859	1943.166260	2106.017090
TVAGG3_0379900	-	NC_067207.1	+	21778016	21780541	4563.860840	1878.137329	2035.538330
TVAGG3_0358640	-	NC_067207.1	+	18217915	18218334	4518.628418	1859.523071	2015.364014
