Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-SPPG_00001	-	NW_015971537.1	-	924	2506	0.543845	0.107704	0.191489
gene-SPPG_00005	-	NW_015971537.1	+	9795	11161	0.000000	0.000000	0.000000
gene-SPPG_00006	-	NW_015971537.1	-	11636	13280	0.400970	0.079408	0.141182
gene-SPPG_08809	-	NW_015971537.1	+	15294	20010	2.896496	0.573625	1.019861
gene-SPPG_00010	-	NW_015971537.1	-	20258	22922	0.000000	0.000000	0.000000
gene-SPPG_00011	-	NW_015971537.1	+	23339	26361	0.000000	0.000000	0.000000
gene-SPPG_00012	-	NW_015971537.1	-	26665	27996	0.745964	0.147731	0.262655
gene-SPPG_00013	-	NW_015971537.1	+	29178	30465	62.049789	12.288400	21.847834
gene-SPPG_00014	-	NW_015971537.1	-	30890	32941	300.246399	59.461086	105.717255
gene-SPPG_00015	-	NW_015971537.1	+	33783	35249	6161.646484	1220.258423	2169.526123
gene-SPPG_00016	-	NW_015971537.1	+	35560	36913	613.147827	121.428383	215.890381
gene-SPPG_00017	-	NW_015971537.1	+	36942	38984	110.498550	21.922709	38.976898
gene-SPPG_00018	-	NW_015971537.1	+	39070	39714	53.848591	10.664227	18.960178
gene-SPPG_00019	-	NW_015971537.1	-	39912	42723	0.944821	0.187113	0.332673
gene-SPPG_08810	-	NW_015971537.1	+	42926	44188	1.146667	0.227087	0.403743
gene-SPPG_00020	-	NW_015971537.1	+	45330	48591	3.582097	0.709402	1.261262
gene-SPPG_00021	-	NW_015971537.1	-	48514	50028	110.843201	21.951494	39.028076
gene-SPPG_00022	-	NW_015971537.1	+	50215	54149	78.487343	15.543708	27.635525
gene-SPPG_08811	-	NW_015971537.1	-	54255	57678	110.698456	21.922829	38.977112
gene-SPPG_08812	-	NW_015971537.1	-	57771	59078	60.134632	11.909121	21.173504
gene-SPPG_00024	-	NW_015971537.1	+	59055	61570	1820.046387	360.443726	640.841370
gene-SPPG_00025	-	NW_015971537.1	-	62285	63915	23.657784	4.685210	8.329946
gene-SPPG_08813	-	NW_015971537.1	+	64665	65418	1.559646	0.308874	0.549154
gene-SPPG_00026	-	NW_015971537.1	+	66079	67591	0.243127	0.048149	0.085605
gene-SPPG_00027	-	NW_015971537.1	+	68204	71119	3.391217	0.677481	1.204510
gene-SPPG_00028	-	NW_015971537.1	+	71245	72780	20.877987	4.134697	7.351174
gene-SPPG_00029	-	NW_015971537.1	-	72274	73837	18.542089	3.672093	6.528701
gene-SPPG_00030	-	NW_015971537.1	-	73955	75833	4341.634277	859.821411	1528.696533
gene-SPPG_00031	-	NW_015971537.1	+	76449	79580	1556.176025	308.186584	547.932190
gene-SPPG_00032	-	NW_015971537.1	-	79254	83076	70.009041	13.864656	24.650299
gene-SPPG_00033	-	NW_015971537.1	+	83618	85318	33101.402344	6555.433594	11655.058594
gene-SPPG_00034	-	NW_015971537.1	-	85057	88037	0.665579	0.131812	0.234351
gene-SPPG_00035	-	NW_015971537.1	+	88631	91055	11.490224	2.275535	4.045727
gene-SPPG_00036	-	NW_015971537.1	+	91198	93641	140.604492	27.845448	49.507076
gene-SPPG_00037	-	NW_015971537.1	-	93592	95606	0.879927	0.174262	0.309824
gene-SPPG_00038	-	NW_015971537.1	-	96521	98478	1873.863159	371.101654	659.790344
gene-SPPG_00039	-	NW_015971537.1	+	98809	99538	265.981354	52.675201	93.652481
gene-SPPG_08814	-	NW_015971537.1	+	99678	101308	100.315010	19.866482	35.321083
gene-SPPG_00040	-	NW_015971537.1	-	101187	103379	5.227945	1.035347	1.840768
gene-SPPG_00041	-	NW_015971537.1	+	103494	105045	172.049454	34.072838	60.578899
gene-SPPG_00042	-	NW_015971537.1	+	105535	106987	5527.263672	1094.624634	1946.158813
gene-SPPG_00043	-	NW_015971537.1	-	107043	108195	371.713226	75.960663	135.052246
gene-SPPG_00044	-	NW_015971537.1	+	108352	110859	73.366806	14.529633	25.832575
gene-SPPG_00045	-	NW_015971537.1	-	110685	111828	844.346069	167.215118	297.295654
gene-SPPG_00046	-	NW_015971537.1	+	112601	113649	16.446028	3.256987	5.790674
gene-SPPG_00047	-	NW_015971537.1	+	113971	115046	1.290892	0.255650	0.454525
gene-SPPG_00048	-	NW_015971537.1	-	115126	115953	3831.265869	758.747559	1348.995117
gene-SPPG_00049	-	NW_015971537.1	-	116076	119190	33.806282	6.695029	11.903249
gene-SPPG_00050	-	NW_015971537.1	+	119437	119894	16.202532	3.208765	5.704938
gene-SPPG_00051	-	NW_015971537.1	+	120108	122883	56.407120	11.170919	19.861040
gene-SPPG_00052	-	NW_015971537.1	+	123091	126640	12.030205	2.382473	4.235855
gene-SPPG_00053	-	NW_015971537.1	-	126577	127552	354.305267	70.166954	124.751480
gene-SPPG_08815	-	NW_015971537.1	+	127967	129110	24.173794	4.787401	8.511633
gene-SPPG_00054	-	NW_015971537.1	-	128259	129978	346.764771	68.673630	122.096451
