Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
CPERKG00000000002	-	contig_1	+	1233	3188	3.343047	0.320667	0.438441
CPERKG00000000003	-	contig_1	-	3249	9344	132.302643	12.690534	17.351524
CPERKG00000000004	-	contig_1	+	11065	15583	311.063965	29.837406	40.796116
CPERKG00000000005	-	contig_1	+	15917	22509	1726.574951	165.613907	226.440735
CPERKG00000000006	-	contig_1	-	21199	22320	101.127266	9.700176	13.262865
CPERKG00000000007	-	contig_1	+	22871	23305	527.133362	50.562889	69.133675
CPERKG00000000008	-	contig_1	-	23497	24630	294.299835	28.229382	38.597496
CPERKG00000000009	-	contig_1	-	24878	27920	1549.999634	148.676712	203.282822
CPERKG00000000010	-	contig_1	+	25166	26251	1059.177856	101.596848	138.911438
CPERKG00000000011	-	contig_1	+	28138	30267	958.107727	91.902161	125.656059
CPERKG00000000012	-	contig_1	-	29831	31337	553.946594	53.134823	72.650238
CPERKG00000000013	-	contig_1	-	31481	33207	530.865540	50.920879	69.623146
Nk52_evmTU32s2209	-	contig_1	-	33809	34061	142.169403	13.636958	18.645554
CPERKG00000000014	-	contig_1	+	34574	37986	449.003601	43.068642	58.886932
CPERKG00000000015	-	contig_1	+	39628	42096	2467.578857	236.691345	323.623566
CPERKG00000000016	-	contig_1	-	41776	43178	452.181122	43.373432	59.303665
CPERKG00000000017	-	contig_1	-	43339	48499	166.871643	16.006409	21.885258
CPERKG00000000018	-	contig_1	+	48562	53397	60.626472	5.815320	7.951177
CPERKG00000000019	-	contig_1	-	54246	58342	48.882141	4.688798	6.410904
CPERKG00000000020	-	contig_1	+	54375	55379	969.438599	92.989021	127.142105
CPERKG00000000021	-	contig_1	+	58691	59914	297.660950	28.551783	39.038307
CPERKG00000000022	-	contig_1	-	59989	63669	148.104584	14.206263	19.423952
CPERKG00000000023	-	contig_1	+	64552	67869	142.987350	13.715416	18.752825
CPERKG00000000024	-	contig_1	-	67873	70371	330.046143	31.658186	43.285633
CPERKG00000000025	-	contig_1	-	70727	72023	196.275269	18.826818	25.741549
CPERKG00000000026	-	contig_1	+	72134	73716	101.058746	9.693604	13.253879
CPERKG00000000027	-	contig_1	-	73735	74767	2781.606934	266.813080	364.808441
CPERKG00000000028	-	contig_1	+	76224	77492	630.505127	60.478359	82.690903
CPERKG00000000029	-	contig_1	-	77509	79414	302.708282	29.035927	39.700268
CPERKG00000000030	-	contig_1	-	79918	81809	866.639771	83.128502	113.660011
