Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
NGRUG00000027214	-	CP062077.1_RagTag	+	8920	10093	0.481261	0.089566	0.113393
NGRUG00000027220	-	CP062077.1_RagTag	+	10485	11096	0.735294	0.136843	0.173248
NGRUG00000027224	-	CP062077.1_RagTag	-	11300	13069	1.661017	0.309127	0.391364
NGRUG00000027228	-	CP062077.1_RagTag	+	13565	14480	3.938865	0.733050	0.928063
NGRUG00000027233	-	CP062077.1_RagTag	-	15910	16898	328.553314	61.146008	77.412735
NGRUG00000027239	-	CP062077.1_RagTag	-	17031	17659	1280.395020	238.290253	301.682770
NGRUG00000027245	-	CP062077.1_RagTag	-	18212	19865	451.304138	83.990776	106.334908
NGRUG00000027253	-	CP062077.1_RagTag	-	20536	25661	0.460008	0.085611	0.108386
NGRUG00000027258	-	CP062077.1_RagTag	-	25861	29793	18.836512	3.505603	4.438202
NGRUG00000027262	-	CP062077.1_RagTag	-	31100	32527	55.342049	10.299532	13.039525
NGRUG00000027268	-	CP062077.1_RagTag	-	34410	35297	91.435814	17.016829	21.543829
NGRUG00000027272	-	CP062077.1_RagTag	-	35390	36166	52.423424	9.756356	12.351848
NGRUG00000027276	-	CP062077.1_RagTag	+	36375	39865	29.267410	5.446865	6.895898
NGRUG00000027284	-	CP062077.1_RagTag	-	38081	39619	131.244125	24.425426	30.923344
NGRUG00000027288	-	CP062077.1_RagTag	+	40622	41984	294.546906	54.817184	69.400246
gene:NAEGRDRAFT_57327	-	CP062077.1_RagTag	+	42081	43431	17.512953	3.259280	4.126348
NGRUG00000027296	-	CP062077.1_RagTag	+	43525	44337	7.650677	1.423843	1.802629
NGRUG00000027300	-	CP062077.1_RagTag	-	44425	45825	78.301216	14.572391	18.449095
NGRUG00000027304	-	CP062077.1_RagTag	-	46583	47314	2.667639	0.496466	0.628541
NGRUG00000027312	-	CP062077.1_RagTag	-	47588	49096	317.281494	59.048248	74.756905
NGRUG00000027320	-	CP062077.1_RagTag	-	49234	51271	20.011084	3.724199	4.714951
NGRUG00000027328	-	CP062077.1_RagTag	-	53083	55268	36.344501	6.763959	8.563381
