Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MICPUCDRAFT_23888	-	GG663755.1	-	1707	1910	0.000000	0.000000	0.000000
MICPUCDRAFT_70769	SSA13	GG663755.1	+	1928	2677	0.000000	0.000000	0.000000
MICPUCDRAFT_23907	-	GG663755.1	-	2370	2537	4.277800	2.167732	2.596817
MICPUCDRAFT_23892	-	GG663755.1	+	2678	3136	1.050109	0.532132	0.637463
MICPUCDRAFT_9841	-	GG663754.1	+	906	1136	19.824675	10.045954	12.034470
MICPUCDRAFT_43752	-	GG663754.1	-	1367	3136	22.590677	11.447598	13.713558
MICPUCDRAFT_43753	-	GG663754.1	+	3998	4843	78.418442	39.737755	47.603523
MICPUCDRAFT_55844	-	GG663754.1	-	4991	6184	3.168342	1.605525	1.923326
MICPUCDRAFT_55846	-	GG663754.1	-	7300	8821	75.932594	38.478077	46.094501
MICPUCDRAFT_54821	-	GG663753.1	+	668	1240	44.432808	22.515877	26.972715
MICPUCDRAFT_66010	-	GG663753.1	+	4806	5223	155.284683	78.688950	94.264793
MICPUCDRAFT_54822	-	GG663753.1	+	5273	6079	212.083557	107.471207	128.744263
MICPUCDRAFT_54823	-	GG663753.1	+	6225	6828	53.829544	27.277580	32.676956
MICPUCDRAFT_54824	-	GG663753.1	-	7969	8792	6.800971	3.446324	4.128496
MICPUCDRAFT_54826	-	GG663753.1	+	9716	11063	71.416138	36.189407	43.352810
MICPUCDRAFT_54827	-	GG663753.1	-	12482	14024	52.043442	26.372488	31.592710
MICPUCDRAFT_54828	-	GG663753.1	-	14084	16645	3.033592	1.537242	1.841527
MICPUCDRAFT_54829	-	GG663753.1	-	17352	18059	20.870056	10.575690	12.669064
MICPUCDRAFT_54830	-	GG663753.1	-	19452	22290	132.094406	66.937508	80.187248
MICPUCDRAFT_54831	-	GG663753.1	+	22509	23906	13.397711	6.789155	8.133014
MICPUCDRAFT_66016	-	GG663753.1	-	24033	25202	47.705128	24.174093	28.959160
MICPUCDRAFT_54834	-	GG663753.1	-	25294	26616	15.841269	8.027403	9.616364
MICPUCDRAFT_23883	-	GG663753.1	+	26889	28064	49.493210	25.080185	30.044605
MICPUCDRAFT_70789	-	GG663753.1	-	28066	30666	44.927986	22.766806	27.273312
MICPUCDRAFT_54837	-	GG663753.1	+	30951	33304	19.775011	10.020787	12.004322
MICPUCDRAFT_54838	-	GG663753.1	+	34084	35780	12.738389	6.455050	7.732776
MICPUCDRAFT_70791	-	GG663753.1	+	38476	39560	239.654434	121.442467	145.481033
MICPUCDRAFT_54840	-	GG663753.1	-	39497	40916	134.549255	68.181480	81.677452
MICPUCDRAFT_70793	-	GG663753.1	-	41043	44088	123.734741	62.701336	75.112556
MICPUCDRAFT_70792	-	GG663753.1	+	41109	42518	0.000000	0.000000	0.000000
MICPUCDRAFT_54843	-	GG663753.1	+	45094	45875	41.353447	20.955442	25.103405
MICPUCDRAFT_66025	-	GG663753.1	-	46140	46888	4.472630	2.266460	2.715088
MICPUCDRAFT_54846	-	GG663753.1	+	47206	47523	4.107280	2.081323	2.493304
MICPUCDRAFT_54848	-	GG663753.1	+	48126	48874	17.682859	8.960611	10.734292
MICPUCDRAFT_54850	-	GG663753.1	+	48936	50762	23.140120	11.726023	14.047094
MICPUCDRAFT_54851	-	GG663753.1	-	50963	51733	59.528534	30.165483	36.136497
MICPUCDRAFT_54852	-	GG663753.1	+	51854	52497	21.663265	10.977641	13.150578
MICPUCDRAFT_54854	-	GG663753.1	-	52926	54572	182.807526	92.635872	110.972397
MICPUCDRAFT_54855	-	GG663753.1	+	55874	57428	1.094902	0.554831	0.664655
MICPUCDRAFT_54856	-	GG663753.1	-	58454	59095	45.402649	23.007334	27.561451
MICPUCDRAFT_54857	-	GG663753.1	-	59162	59935	0.674419	0.341755	0.409403
MICPUCDRAFT_54858	-	GG663753.1	+	60759	62518	38.422600	19.470266	23.324247
