Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
BAESF_00001	-	scaffold_1	-	604	1074	158.928329	37.275063	58.077221
BAESF_00002	-	scaffold_1	-	1207	1751	4.015385	0.941769	1.467343
BAESF_00003	-	scaffold_1	-	3150	4409	16.279093	3.818100	5.948873
BAESF_00004	-	scaffold_1	-	5929	8027	21.744062	5.099854	7.945938
BAESF_00005	-	scaffold_1	-	8125	8894	15.738616	3.691336	5.751366
BAESF_00006	-	scaffold_1	-	10734	13550	24.025845	5.635024	8.779770
BAESF_00007	-	scaffold_1	-	13990	15061	32.007122	7.506953	11.696370
BAESF_00008	-	scaffold_1	-	18296	20299	2.646541	0.620720	0.967126
BAESF_00009	-	scaffold_1	+	23029	25236	14.868826	3.487336	5.433519
BAESF_00010	-	scaffold_1	+	26432	29594	3.276081	0.768372	1.197179
BAESF_00011	-	scaffold_1	-	29616	30635	0.000000	0.000000	0.000000
BAESF_00012	-	scaffold_1	+	31187	32541	51.395470	12.054297	18.781458
BAESF_00013	-	scaffold_1	-	32622	32834	2.169014	0.508721	0.792623
BAESF_00014	-	scaffold_1	-	34566	38058	18.793844	4.419005	6.885126
BAESF_00015	-	scaffold_1	+	38164	40440	3.832155	0.898794	1.400385
BAESF_00016	-	scaffold_1	+	40539	43330	79.999298	18.763041	29.234161
BAESF_00017	-	scaffold_1	+	47150	47658	0.827112	0.193991	0.302252
BAESF_00019	-	scaffold_1	+	48674	49495	3.427200	0.803816	1.252403
BAESF_00020	-	scaffold_1	-	49999	51920	0.000000	0.000000	0.000000
BAESF_00022	-	scaffold_1	-	54904	56476	106.173889	24.902033	38.799149
BAESF_00023	-	scaffold_1	-	56707	61029	21.593399	5.064517	7.890882
BAESF_00024	-	scaffold_1	-	62334	65482	281.463074	72.625298	113.155418
BAESF_00025	-	scaffold_1	+	65561	66986	1115.862915	261.714569	407.770050
BAESF_00026	-	scaffold_1	+	67072	69455	19.629133	4.603819	7.173079
BAESF_00027	-	scaffold_1	-	69208	71610	41.142494	9.649564	15.034712
