Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Clim_evmTU1s109	-	scaffold1_len353402_cov0	+	1698	3081	1133.302002	370.320221	517.021362
Clim_evmTU2s109	-	scaffold1_len353402_cov0	-	3360	6275	269.659454	88.114510	123.020782
Clim_evmTU3s109	-	scaffold1_len353402_cov0	-	8428	10718	105.838501	34.584019	48.284367
Clim_evmTU4s109	-	scaffold1_len353402_cov0	+	12255	12937	440.213776	143.845215	200.829010
Clim_evmTU5s109	-	scaffold1_len353402_cov0	+	13401	15734	122.498718	40.027950	55.884888
Clim_evmTU6s109	-	scaffold1_len353402_cov0	-	15779	16990	150.731842	49.253468	68.765060
Clim_evmTU7s109	-	scaffold1_len353402_cov0	+	17776	20449	48.737473	15.925563	22.234421
Clim_evmTU8s109	-	scaffold1_len353402_cov0	+	20798	22363	30.459131	9.952892	13.895698
Clim_evmTU9s109	-	scaffold1_len353402_cov0	-	22436	23719	270.285828	88.319191	123.306541
Clim_evmTU10s109	-	scaffold1_len353402_cov0	+	25416	26570	738.819885	241.418396	337.055511
Clim_evmTU11s109	-	scaffold1_len353402_cov0	-	26597	29358	93.425056	30.527775	42.621250
Clim_evmTU12s109	-	scaffold1_len353402_cov0	+	30266	33764	99.788513	32.607113	45.524311
Clim_evmTU13s109	-	scaffold1_len353402_cov0	-	34090	35985	50.572262	16.525103	23.071466
Clim_evmTU14s109	-	scaffold1_len353402_cov0	+	40132	44371	82.012260	26.798504	37.414646
Clim_evmTU15s109	-	scaffold1_len353402_cov0	+	45546	46628	295.129272	96.437088	134.640320
Clim_evmTU16s109	-	scaffold1_len353402_cov0	-	46801	48414	140.692688	45.973049	64.185120
Clim_evmTU17s109	-	scaffold1_len353402_cov0	+	51212	52849	94.175217	30.772900	42.963482
Clim_evmTU18s109	-	scaffold1_len353402_cov0	-	52991	53689	168.633759	55.103134	76.932060
Clim_evmTU19s109	-	scaffold1_len353402_cov0	+	54896	57154	241.615753	78.950890	110.227028
Clim_evmTU20s109	-	scaffold1_len353402_cov0	-	57426	57881	770.524109	251.778137	351.519196
Clim_evmTU21s109	-	scaffold1_len353402_cov0	-	58261	61400	67.855095	22.172478	30.956034
Clim_evmTU22s109	-	scaffold1_len353402_cov0	-	61467	61848	201.180634	65.738220	91.780205
Clim_evmTU23s109	-	scaffold1_len353402_cov0	+	62207	63064	51.312355	16.766937	23.409103
Clim_evmTU24s109	-	scaffold1_len353402_cov0	+	63201	63572	6.211309	2.029621	2.833648
Clim_evmTU25s109	-	scaffold1_len353402_cov0	+	64733	65512	207.797440	67.900345	94.798843
Clim_evmTU26s109	-	scaffold1_len353402_cov0	-	65567	67354	131.219238	42.877483	59.863258
Clim_evmTU27s109	-	scaffold1_len353402_cov0	-	67907	68460	26.395960	8.625201	12.042047
Clim_evmTU28s109	-	scaffold1_len353402_cov0	-	68845	70152	56.313457	18.401108	25.690645
Clim_evmTU29s109	-	scaffold1_len353402_cov0	+	70621	72858	27.863718	9.104809	12.711649
Clim_evmTU30s109	-	scaffold1_len353402_cov0	+	74063	75065	237.684952	77.666451	108.433754
Clim_evmTU31s109	-	scaffold1_len353402_cov0	+	75488	76201	73.894958	24.146078	33.711468
Clim_evmTU32s109	-	scaffold1_len353402_cov0	-	76253	76651	113.142860	36.970806	51.616673
Clim_evmTU33s109	-	scaffold1_len353402_cov0	+	78175	79099	106.125397	34.677765	48.415249
Clim_evmTU34s109	-	scaffold1_len353402_cov0	+	79310	81766	37.123730	12.130631	16.936140
Clim_evmTU35s109	-	scaffold1_len353402_cov0	-	81866	82428	2146.905762	701.527588	979.435425
Clim_evmTU36s109	-	scaffold1_len353402_cov0	+	83260	84381	50.739750	16.579830	23.147875
Clim_evmTU37s109	-	scaffold1_len353402_cov0	-	84572	84991	254.364288	83.116631	116.043007
Clim_evmTU38s109	-	scaffold1_len353402_cov0	-	85986	88238	82.563690	26.978691	37.666210
Clim_evmTU39s109	-	scaffold1_len353402_cov0	+	90852	92301	278.736542	91.080559	127.161819
Clim_evmTU40s109	-	scaffold1_len353402_cov0	+	92865	94010	130.815002	42.745396	59.678841
Clim_evmTU41s109	-	scaffold1_len353402_cov0	-	94162	96393	117.040321	38.244350	53.394722
Clim_evmTU42s109	-	scaffold1_len353402_cov0	+	97589	98907	79.790749	26.072599	36.401173
Clim_evmTU43s109	-	scaffold1_len353402_cov0	-	99013	100728	31.250584	10.211509	14.256764
Clim_evmTU44s109	-	scaffold1_len353402_cov0	-	101174	105957	44.739758	14.619260	20.410631
Clim_evmTU45s109	-	scaffold1_len353402_cov0	-	106137	106638	1158.515991	378.559235	528.524170
Clim_evmTU46s109	-	scaffold1_len353402_cov0	-	106955	108217	300.699158	98.257111	137.181351
Clim_evmTU47s109	-	scaffold1_len353402_cov0	+	109101	110456	71.558258	23.382532	32.645443
Clim_evmTU48s109	-	scaffold1_len353402_cov0	+	110973	114451	258.221619	84.377060	117.802750
Clim_evmTU49s109	-	scaffold1_len353402_cov0	+	114930	115229	618.163330	201.992401	282.011017
Clim_evmTU50s109	-	scaffold1_len353402_cov0	-	115453	117678	214.447433	70.073311	97.832626
Clim_evmTU51s109	-	scaffold1_len353402_cov0	+	127012	127715	454.154358	148.400467	207.188828
Clim_evmTU52s109	-	scaffold1_len353402_cov0	-	127773	130061	124.091743	40.548489	56.611637
Clim_evmTU53s109	-	scaffold1_len353402_cov0	-	130681	132971	40.382801	13.195572	18.422955
Clim_evmTU54s109	-	scaffold1_len353402_cov0	+	133461	137696	44.586166	14.569074	20.340563
Clim_evmTU55s109	-	scaffold1_len353402_cov0	+	142175	144016	103.619438	33.858913	47.272011
Clim_evmTU56s109	-	scaffold1_len353402_cov0	-	144226	144885	773.469727	252.740646	352.863007
Clim_evmTU57s109	-	scaffold1_len353402_cov0	-	146282	148302	278.410675	90.974083	127.013168
Clim_evmTU58s109	-	scaffold1_len353402_cov0	+	149012	149335	241.435181	78.891884	110.144646
Clim_evmTU59s109	-	scaffold1_len353402_cov0	-	149414	152323	144.531616	47.227467	65.936470
Clim_evmTU60s109	-	scaffold1_len353402_cov0	-	153043	154472	129.597198	42.347466	59.123272
Clim_evmTU61s109	-	scaffold1_len353402_cov0	+	155269	156756	390.890442	127.728218	178.327316
Clim_evmTU62s109	-	scaffold1_len353402_cov0	-	156944	158407	64.015709	20.917912	29.204473
Clim_evmTU63s109	-	scaffold1_len353402_cov0	-	158969	160347	35.633068	11.643539	16.256088
Clim_evmTU64s109	-	scaffold1_len353402_cov0	+	160516	161522	144.618668	47.255913	65.976189
Clim_evmTU65s109	-	scaffold1_len353402_cov0	-	161616	163307	136.779556	44.694386	62.399918
Clim_evmTU66s109	-	scaffold1_len353402_cov0	+	163898	164383	58.804527	19.215096	26.827093
Clim_evmTU67s109	-	scaffold1_len353402_cov0	-	164451	166031	73.716637	24.087809	33.630116
Clim_evmTU68s109	-	scaffold1_len353402_cov0	+	167280	168104	45.995152	15.029476	20.983353
Clim_evmTU69s109	-	scaffold1_len353402_cov0	+	168766	169329	77.854607	25.439941	35.517891
Clim_evmTU70s109	-	scaffold1_len353402_cov0	-	169364	171142	185.861160	60.732399	84.791336
Clim_evmTU71s109	-	scaffold1_len353402_cov0	+	172126	173118	176.178253	57.568390	80.373917
Clim_evmTU72s109	-	scaffold1_len353402_cov0	-	173220	178123	173.154770	56.580429	78.994576
Clim_evmTU73s109	-	scaffold1_len353402_cov0	+	180409	181416	57.346230	18.738579	26.161804
Clim_evmTU74s109	-	scaffold1_len353402_cov0	-	181498	182751	82.576553	26.982895	37.672077
Clim_evmTU75s109	-	scaffold1_len353402_cov0	+	183061	184001	91.251862	29.817657	41.629826
Clim_evmTU76s109	-	scaffold1_len353402_cov0	-	184023	185437	51.074203	16.689117	23.300457
Clim_evmTU77s109	-	scaffold1_len353402_cov0	+	186109	187788	72.772026	23.779146	33.199173
