Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-SPPG_00002	-	NW_015971537.1	+	3444	5699	0.193984	0.036586	0.063367
gene-SPPG_00005	-	NW_015971537.1	+	9795	11161	0.351055	0.066209	0.114676
gene-SPPG_00006	-	NW_015971537.1	-	11636	13280	2.445983	0.461316	0.799004
gene-SPPG_08809	-	NW_015971537.1	+	15294	20010	2.669811	0.503530	0.872120
gene-SPPG_00010	-	NW_015971537.1	-	20258	22922	0.533808	0.100677	0.174374
gene-SPPG_00011	-	NW_015971537.1	+	23339	26361	0.971528	0.183232	0.317359
gene-SPPG_00012	-	NW_015971537.1	-	26665	27996	2.601529	0.490652	0.849815
gene-SPPG_00013	-	NW_015971537.1	+	29178	30465	502.848022	94.837852	164.260223
gene-SPPG_00014	-	NW_015971537.1	-	30890	32941	3.897336	0.735043	1.273103
gene-SPPG_00015	-	NW_015971537.1	+	33783	35249	27.661448	5.216988	9.035883
gene-SPPG_00016	-	NW_015971537.1	+	35560	36913	1595.859863	300.981445	521.303223
gene-SPPG_00017	-	NW_015971537.1	+	36942	38984	98.060066	18.529442	32.093204
gene-SPPG_00018	-	NW_015971537.1	+	39070	39714	66.908447	12.619028	21.856298
gene-SPPG_00019	-	NW_015971537.1	-	39912	42723	10.216191	1.926788	3.337219
gene-SPPG_08810	-	NW_015971537.1	+	42926	44188	30.230000	5.701421	9.874926
gene-SPPG_00020	-	NW_015971537.1	+	45330	48591	101.683167	19.177589	33.215801
gene-SPPG_00021	-	NW_015971537.1	-	48514	50028	242.691177	45.771900	79.277451
gene-SPPG_00022	-	NW_015971537.1	+	50215	54149	87.373535	16.478773	28.541420
gene-SPPG_08811	-	NW_015971537.1	-	54255	57678	176.299042	33.250252	57.589806
gene-SPPG_08812	-	NW_015971537.1	-	57771	59078	125.010490	23.577156	40.835899
gene-SPPG_00024	-	NW_015971537.1	+	59055	61570	186.790726	35.228996	61.017017
gene-SPPG_00025	-	NW_015971537.1	-	62285	63915	106.894814	20.160513	34.918236
gene-SPPG_08813	-	NW_015971537.1	+	64665	65418	5.851252	1.103554	1.911369
gene-SPPG_00026	-	NW_015971537.1	+	66079	67591	0.000000	0.000000	0.000000
gene-SPPG_00027	-	NW_015971537.1	+	68204	71119	65.507919	12.634006	21.882240
gene-SPPG_00028	-	NW_015971537.1	+	71245	72780	35.757736	6.743959	11.680614
gene-SPPG_00029	-	NW_015971537.1	-	72274	73837	217.536346	41.027664	71.060379
gene-SPPG_00030	-	NW_015971537.1	-	73955	75833	34.105156	6.432281	11.140783
gene-SPPG_00031	-	NW_015971537.1	+	76449	79580	8.493917	1.601965	2.774621
gene-SPPG_00032	-	NW_015971537.1	-	79254	83076	124.156693	23.416128	40.556999
gene-SPPG_00033	-	NW_015971537.1	+	83618	85318	36.443001	6.873201	11.904463
gene-SPPG_00034	-	NW_015971537.1	-	85057	88037	115.087830	21.705727	37.594566
gene-SPPG_00035	-	NW_015971537.1	+	88631	91055	65.190750	12.295067	21.295197
gene-SPPG_00036	-	NW_015971537.1	+	91198	93641	83.041893	15.661819	27.126448
gene-SPPG_00037	-	NW_015971537.1	-	93592	95606	45.799934	8.637933	14.960998
gene-SPPG_00038	-	NW_015971537.1	-	96521	98478	7.643013	1.441483	2.496665
gene-SPPG_00039	-	NW_015971537.1	+	98809	99538	33.647388	6.345945	10.991248
gene-SPPG_08814	-	NW_015971537.1	+	99678	101308	50.927937	9.605081	16.636108
gene-SPPG_00040	-	NW_015971537.1	-	101187	103379	72.305626	13.636943	23.619339
gene-SPPG_00041	-	NW_015971537.1	+	103494	105045	145.369736	27.416939	47.486443
gene-SPPG_00042	-	NW_015971537.1	+	105535	106987	11979.707031	2259.389648	3913.288574
gene-SPPG_00043	-	NW_015971537.1	-	107043	108195	371.457977	72.373177	125.351158
gene-SPPG_00044	-	NW_015971537.1	+	108352	110859	100.381088	18.932016	32.790466
gene-SPPG_00045	-	NW_015971537.1	-	110685	111828	785.006897	148.053421	256.430176
gene-SPPG_00046	-	NW_015971537.1	+	112601	113649	115.602852	21.802860	37.762802
gene-SPPG_00047	-	NW_015971537.1	+	113971	115046	1.089219	0.205428	0.355804
gene-SPPG_00048	-	NW_015971537.1	-	115126	115953	10262.595703	1935.540039	3352.377197
gene-SPPG_00049	-	NW_015971537.1	-	116076	119190	87.508148	16.504160	28.585394
gene-SPPG_00050	-	NW_015971537.1	+	119437	119894	12.110760	2.284106	3.956098
gene-SPPG_00051	-	NW_015971537.1	+	120108	122883	39.676216	7.482990	12.960624
gene-SPPG_00052	-	NW_015971537.1	+	123091	126640	39.877232	7.520902	13.026288
gene-SPPG_00053	-	NW_015971537.1	-	126577	127552	14.880048	2.806398	4.860713
gene-SPPG_08815	-	NW_015971537.1	+	127967	129110	26.679335	5.031760	8.715066
gene-SPPG_00054	-	NW_015971537.1	-	128259	129978	321.677490	60.668831	105.079102
gene-SPPG_00055	-	NW_015971537.1	+	130099	134143	128.042023	24.148907	41.826180
gene-SPPG_00056	-	NW_015971537.1	-	134265	135707	72.734116	13.717756	23.759310
gene-SPPG_00057	-	NW_015971537.1	-	136405	138380	59.615845	11.243633	19.474098
gene-SPPG_00058	-	NW_015971537.1	-	138641	142527	70.211609	13.242008	22.935308
gene-SPPG_00059	-	NW_015971537.1	-	143905	146004	52.260635	9.856430	17.071447
