Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
BAESF_00001	-	scaffold_1	-	604	1074	134.784821	17.265488	23.844143
BAESF_00002	-	scaffold_1	-	1207	1751	96.358971	12.343265	17.046408
BAESF_00003	-	scaffold_1	-	3150	4409	37.499523	4.803565	6.633863
BAESF_00004	-	scaffold_1	-	5929	8027	24.718615	3.166372	4.372853
BAESF_00005	-	scaffold_1	-	8125	8894	9.717062	1.244723	1.718999
BAESF_00006	-	scaffold_1	-	10734	13550	13.414391	1.718339	2.373076
BAESF_00007	-	scaffold_1	-	13990	15061	13.856055	1.774915	2.451209
BAESF_00008	-	scaffold_1	-	18296	20299	1.741296	0.223054	0.308044
BAESF_00009	-	scaffold_1	+	23029	25236	17.812145	2.281677	3.151062
BAESF_00010	-	scaffold_1	+	26432	29594	11.163991	1.430070	1.974969
BAESF_00011	-	scaffold_1	-	29616	30635	0.000000	0.000000	0.000000
BAESF_00012	-	scaffold_1	+	31187	32541	77.518021	9.929801	13.713346
BAESF_00013	-	scaffold_1	-	32622	32834	10.239436	1.311638	1.811410
BAESF_00014	-	scaffold_1	-	34566	38058	21.401628	2.758903	3.810125
BAESF_00015	-	scaffold_1	+	38164	40440	11.167343	1.430500	1.975562
BAESF_00016	-	scaffold_1	+	40539	43330	41.464844	5.311509	7.335349
BAESF_00017	-	scaffold_1	+	47150	47658	6.624754	0.848609	1.171954
BAESF_00018	-	scaffold_1	+	48170	48610	2.961451	0.379352	0.523896
BAESF_00019	-	scaffold_1	+	48674	49495	20.449492	2.619512	3.617623
BAESF_00020	-	scaffold_1	-	49999	51920	6.754630	0.865246	1.194930
BAESF_00021	-	scaffold_1	+	52347	54715	2.569735	0.329175	0.454600
BAESF_00022	-	scaffold_1	-	54904	56476	458.110413	58.682419	81.042137
BAESF_00023	-	scaffold_1	-	56707	61029	57.502575	7.365889	10.172508
BAESF_00024	-	scaffold_1	-	62334	65482	496.744629	69.791306	96.383842
BAESF_00025	-	scaffold_1	+	65561	66986	772.206848	98.917130	136.607452
BAESF_00026	-	scaffold_1	+	67072	69455	1174.979492	150.510971	207.860046
BAESF_00027	-	scaffold_1	-	69208	71610	54.787811	7.018137	9.692252
BAESF_00028	-	scaffold_1	+	71693	76997	87.175179	11.166850	15.421747
BAESF_00029	-	scaffold_1	+	76977	79235	227.109467	29.573212	40.841469
BAESF_00030	-	scaffold_1	-	79242	80372	161.961700	20.746756	28.651876
BAESF_00031	-	scaffold_1	+	80871	82430	29.198296	3.740205	5.165332
BAESF_00032	-	scaffold_1	+	82375	88857	160.783478	20.595831	28.443441
BAESF_00033	-	scaffold_1	-	88898	89427	161.296219	20.661510	28.534151
BAESF_00034	-	scaffold_1	+	89490	92826	64.751648	8.294471	11.454907
BAESF_00035	-	scaffold_1	+	92803	95192	101.717552	13.770421	19.017353
BAESF_00036	-	scaffold_1	+	95226	96767	39.742329	5.090860	7.030627
BAESF_00037	-	scaffold_1	-	96744	100443	337.528351	43.236259	59.710541
BAESF_00038	-	scaffold_1	-	103327	104345	311.434723	39.893753	55.094440
BAESF_00039	-	scaffold_1	+	104435	108651	55.874039	7.157279	9.884412
BAESF_00040	-	scaffold_1	-	108862	109836	5.690257	0.728903	1.006636
BAESF_00041	-	scaffold_1	-	110412	111594	217.166473	27.818304	38.417892
BAESF_00042	-	scaffold_1	+	111903	116532	605.664612	77.583626	107.145264
BAESF_00043	-	scaffold_1	+	116766	117276	1467.916626	188.035248	259.682190
BAESF_00044	-	scaffold_1	+	117302	118880	163.490631	20.942606	28.922352
BAESF_00045	-	scaffold_1	+	118866	121856	10.434873	1.336672	1.845984
BAESF_00046	-	scaffold_1	+	122422	125801	17.069189	2.186507	3.019629
BAESF_00047	-	scaffold_1	-	125877	129693	23.934961	3.065989	4.234221
