Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FDP41_000001	-	NW_025407933.1	+	1439	2025	17.517691	16.388334	22.842737
FDP41_000002	-	NW_025407933.1	-	3134	7791	37.512787	35.094357	48.915970
FDP41_000003	-	NW_025407933.1	-	8548	10419	39.760685	37.197330	51.847183
FDP41_000004	-	NW_025407933.1	-	10662	11885	31.926470	29.868187	41.631516
FDP41_000005	-	NW_025407933.1	-	12360	13637	31.258217	29.243013	40.760124
FDP41_000006	-	NW_025407933.1	-	13875	15596	38.206738	35.743568	49.820862
FDP41_000007	-	NW_025407933.1	+	15987	17261	35.771763	33.465576	46.645706
FDP41_000008	-	NW_025407933.1	-	17803	18883	38.304398	35.834934	49.948212
FDP41_000009	-	NW_025407933.1	-	19315	20100	34.720100	32.481712	45.274357
FDP41_000010	-	NW_025407933.1	-	20713	22536	35.723682	33.420593	46.583012
FDP41_000011	-	NW_025407933.1	+	23619	24754	29.480974	27.580351	38.442635
FDP41_000012	-	NW_025407933.1	-	24874	27933	35.705227	33.403328	46.558945
FDP41_000013	-	NW_025407933.1	-	28060	31338	35.417973	33.134594	46.184368
FDP41_000014	-	NW_025407933.1	-	32411	34241	37.219418	34.819901	48.533417
FDP41_000015	-	NW_025407933.1	+	34475	37419	32.598064	30.496483	42.507259
FDP41_000016	-	NW_025407933.1	-	37480	40179	29.745926	27.828220	38.788128
FDP41_000017	-	NW_025407933.1	+	41149	43881	30.533258	28.564795	39.814793
FDP41_000018	-	NW_025407933.1	+	44230	46869	36.743561	34.374722	47.912910
FDP41_000019	-	NW_025407933.1	+	47427	49661	30.115965	28.174402	39.270649
FDP41_000020	-	NW_025407933.1	-	49863	52535	32.319118	30.235521	42.143520
FDP41_000021	-	NW_025407933.1	+	53716	54657	26.794056	25.066656	34.938942
FDP41_000022	-	NW_025407933.1	+	55000	57921	32.364136	30.277636	42.202225
FDP41_000023	-	NW_025407933.1	+	58604	59920	29.605164	27.696533	38.604576
FDP41_000024	-	NW_025407933.1	-	59977	60779	28.485815	26.649347	37.144966
FDP41_000025	-	NW_025407933.1	+	61277	63337	32.025108	29.960464	41.760136
FDP41_000026	-	NW_025407933.1	-	63706	64405	26.862745	25.130917	35.028515
FDP41_000027	-	NW_025407933.1	-	64571	66157	26.081285	24.399837	34.009506
FDP41_000028	-	NW_025407933.1	+	66706	67884	29.988125	28.054804	39.103947
FDP41_000029	-	NW_025407933.1	-	68118	69240	36.064922	33.739834	47.027981
FDP41_000030	-	NW_025407933.1	+	69678	73505	32.353500	30.267687	42.188354
FDP41_000031	-	NW_025407933.1	-	73698	76808	33.036003	30.906189	43.078327
FDP41_000032	-	NW_025407933.1	+	78178	80733	40.337490	37.736950	52.599327
FDP41_000033	-	NW_025407933.1	+	81095	81832	28.069105	26.259504	36.601585
FDP41_000034	-	NW_025407933.1	+	81899	82657	33.096180	30.962484	43.156796
